tlemma,rlemma,slemma,ruler,Rhetorical_mode,Verb_metaphor_status,PP_type,PP_metaphor_status,PP_metonymy_status,0
abāku,ina,muhhu,Esarhaddon,Statement+,Basic+,EA,Basic+,M,2
epēšu,ina,pû,Ashurbanipal,Statement,Literal,AJ,Basic+,M,2
kašādu,ina,libbu,Ashurbanipal,Statement,Literal,AJ,Basic+,M,1
tamû,ina,libbu,Sargon II,Statement,Literal,EA,Basic,M,1
ramû,ina,qātu,Esarhaddon,Wish,Basic+,EA,Basic+,M,1
qerēbu,ina,pānu,Esarhaddon,Statement+,Literal,EA,Basic,M,1
petû,ina,pû,Ashurbanipal,Wish,Literal,AJ,Basic+,M,1
palāhu,ina,ahu,Esarhaddon,Wish+,Literal,AJ,Basic,M,1
našû,ana,pû,Tiglath-pileser III,Order+,Basic+,AJ,Basic+,M,1
mahāru,ina,muhhu,Esarhaddon or Ashurbanipal,Statement,Literal,AJ,Basic+,M,1
leqû,ištu,libbu,Esarhaddon or Ashurbanipal,Statement+,Literal,EA,Basic,M,1
lapnu,ina,libbu,Esarhaddon,Statement,Literal,EA,Basic+,M,1
kullu,ina,libbu,Esarhaddon,Statement+,Basic+,EA,Basic+,M,1
kullu,ina,libbu,Esarhaddon,Statement,Basic+,EA,Basic,M,1
kamsu,ina,muhhu,Ashurbanipal,Statement,Literal,EA,Basic,L,1
akālu,ina,muhhu,Esarhaddon or Ashurbanipal,Statement,Basic+,EA,Basic+,M,1
esēhu,ina,muhhu,Esarhaddon,Statement,Literal,EA,Basic+,M,1
epēšu,ina,pūtu,Esarhaddon,Statement,Literal,AJ,Basic+,M,1
epēšu,ina,pānu,Ashurbanipal,Statement,Literal,AJ,Basic+,M,1
amāru,itti,šēpu,Ashurbanipal,Statement,Literal,AJ,Literal,M,1
amāru,ina,qātu,Esarhaddon or Ashurbanipal,Statement,Literal,EA,Literal,M,1
alāku,ina,pānu,Ashurbanipal,Statement,Basic+,AJ,Basic+,M,1
alāku,ina,pû,Ashurbanipal,Statement,Basic+,AJ,Basic+,M,1
alāku,ana,šulmu,Esarhaddon or Ashurbanipal,Statement,Literal,AJ,Basic,M,1
alāku,ana,šulmu,Esarhaddon,Statement+,Literal,AJ,Basic,M,1
akālu,ištu,pānu,Esarhaddon or Ashurbanipal,Statement,Basic+,EA,Basic+,M,1
wadû,ištu,libbu,Esarhaddon,Statement,Literal,AJ,Basic+,M,1
