tlemma+rlemma+slemma,ruler,count
epēšu+ina+pānu,Esarhaddon or Ashurbanipal,20
šapāru+ana+pānu,Ashurbanipal,18
šakānu+ina+muhhu,Esarhaddon,16
alāku+ana+pānu,Sargon II,16
alāku+ina+muhhu,Tiglath-pileser III,15
alāku+ana+pānu,Ashurbanipal,15
šapāru+ina+muhhu,Tiglath-pileser III,15
erēbu+ina+pānu,Esarhaddon,11
alāku+ana+pānu,Sennacherib,11
šapāru+ana+pānu,Esarhaddon,11
qabû+ina+pānu,Esarhaddon,10
dabābu+ina+muhhu,Esarhaddon,10
šapāru+ana+šulmu,Sargon II,10
alāku+ana+pānu,Esarhaddon,10
alāku+ana+pānu,Tiglath-pileser III,9
šapāru+ina+muhhu,Ashurbanipal,9
kânu+ina+pānu,Esarhaddon,9
alāku+ana+muhhu,Esarhaddon,8
epēšu+ina+muhhu,Esarhaddon,8
alāku+ina+muhhu,Esarhaddon,8
wabālu+ina+muhhu,Tiglath-pileser III,8
alāku+ina+pānu,Ashurbanipal,7
šapāru+ina+muhhu,Esarhaddon or Ashurbanipal,7
alāku+ina+pānu,Tiglath-pileser III,7
erēbu+ina+libbu,Esarhaddon,7
šapāru+ina+muhhu,Esarhaddon,7
izuzzu+ina+pānu,Esarhaddon,7
alāku+ina+pānu,Esarhaddon,7
alāku+ina+libbu,Tiglath-pileser III,7
alāku+ana+šulmu,Esarhaddon,7
tamû+ina+libbu,Ashurbanipal,7
šakānu+ina+libbu,Esarhaddon,6
wabālu+ina+qātu,Sargon II,6
qabû+ina+muhhu,Ashurbanipal,6
izuzzu+ina+pānu,Ashurbanipal,6
alāku+ina+muhhu,Sargon II,6
epēšu+ina+libbu,Esarhaddon,5
šapāru+ina+qātu,Esarhaddon,5
šapāru+ina+qātu,Ashurbanipal,5
erēbu+ina+libbu,Tiglath-pileser III,5
erēbu+ina+pānu,Esarhaddon or Ashurbanipal,5
šapāru+ana+šulmu,Tiglath-pileser III,4
dabābu+ina+libbu,Esarhaddon,4
dabābu+ina+muhhu,Ashurbanipal,4
dabābu+ana+muhhu,Ashurbanipal,4
šakānu+ina+qātu,Esarhaddon,4
amāru+ina+libbu,Esarhaddon,4
qabû+ina+muhhu,Esarhaddon,4
paqādu+ina+muhhu,Tiglath-pileser III,4
bâšu+ina+pānu,Ashurbanipal,4
erēbu+ina+pānu,Ashurbanipal,4
erēbu+ana+libbu,Ashurbanipal,4
