term,LID,LID_old,non-lexeme,questionable,lexical_category,sense,Stem,Root,CDA_page,CDA_numeral,CAD_page,CAD_letter,RlA_page,AHw_page,FrayneStuckey_page,alternate_spelling,logogram,alternative_logogram,assyrian_dialect,sumerian_loanword,aramaic_loanword,west_semitic,hurrian_loanword
hulluqu,L1083764,,,,verb,lose;allow slave to escape;destroy;banish,D,h l q,101,,,,,,,,ZAH₂,,,,,,
têrtu,L1085835,L1085835,,,noun,instruction,,w ' r,405,,,,,,,tā'ertu,UZU.UR₅;UZU.UR₅.UŠ₂;UZU.KIN,,,,,,
dīnu,L1086092,L1086092,,,noun,legal decision;trial,,d ' n,60,,,,,,,,DI;DI.KUD,,,,,,
Ea,L1086093,L1086093,,,pn,god of the sweetwater (abzu),,,,,,,2;374,,,,DINGIR.EN.KI,,,,,,
gabadibbu,L1086118,L1086118,,,noun,parapet,,,87,,,,,,,,GABA.DIB,,,,,,
dapānu,L1086120,L1086120,,,verb,to bear down on violently,G,d p n,56,,,,,,,,,,,,,,
dašpu,L1086122,L1086122,,,adj,sweet,,d š p,57,,,,,,,,,,,,,,
ab abi,L1086258,L1086258,,,noun,grandfather,,,3,,,,,,,,,,,,,,
abālu,L1086259,L1086259,,,verb,to dry,G, b l,1,,,,,,,,HAD₂.A,,,,,,
abāru,L1086260,L1086260,,,verb,to embrace,G, b r,2,III,,,,,,,,,,,,,
abattu,L1086261,L1086261,,,noun,river-gravel,,,2,,,,,,,,,,,,,,
abnu,L1086262,L1086262,,,noun,stone,,,2,,,,,,,,NA₄,,,,,,
abru,L1086263,L1086263,,,noun,wing,,,3,II,,,,,,apru,,,,,,,
abu,L1086264,L1086264,,,noun,father,,,2,,,,,,,,AD,,,,,,
abūbu,L1086265,L1086265,,,noun,flood,,,3,,,,,,,,A.MA.RU,,,,,,
abullu,L1086266,L1086266,,,noun,gate,,,3,,,,,,,,ABUL,,,,,,
Adad,L1086267,L1086267,,,pn,chief Mesopotamian storm god,,,,,,,1;22,,3,,DINGIR.IM,,,,,,
adānu,L1086268,L1086268,,,noun,fixed data,,,4,,,,,,,adannu,UD.DUG₄.GA;U₄.SUR,U₄.SUR,,,,,
adāru,L1086269,L1086269,,,verb,to be dark,G,,4,,,,,,,hadāru,KANA₅,,,,,,
adāru,L1086270,L1086270,,,verb,to be afraid,G,,4,,,,,,,,,,,,,,
adi,L1086271,L1086271,,,prep,until,,,4,,,,,,,,,,,,,,
adû,L1086272,L1086272,,,noun,treaty,,,5,,,,,,,,,,adiu,,,,
agāgu,L1086273,L1086273,,,verb,to be furious,G,,5,,,,,,,,,,,,,,
agû,L1086274,L1086274,,,noun,"crown,corona",,,6,,,,,,,,AGA,,,,,,
agû,L1086275,L1086275,,,noun,wave,,,6,,,,,,,,A.GI₆.A,,,,,,
aguhhu,L1086285,L1086285,,,noun,sash,,,6,,,,,,,,,,,,,,
ahāzu,L1086286,L1086286,,,verb,"to take,to marry",G,,7,,,,,,,,,,,,,,
ahu,L1086287,L1086287,,,noun,brother,,,8,,,,,,,,ŠEŠ;PAP,PAP,,,,,
ahu,L1086288,L1086288,,,noun,"side,arm",,,8,,,,,,,,,,,,,,
ahû,L1086289,L1086289,,,adj,"outside,strange",,,8,,,,,,,,BAR,,,,,,
akālu,L1086290,L1086290,,,verb,to eat,G,,9,,,,,,,,GU₇,,,,,,
aklu,L1086291,L1086291,,,adj,eaten,,,10,,,,,,,,,,,,,,
alāku,L1086292,L1086292,,,verb,to go,G,,11,,,,,,,,DU,,,,,,
alālu,L1086293,L1086293,,,verb,to suspend,,,11,,,,,,,,,,,,,,
alālu,L1086294,L1086294,,,noun,work song,,,11,,,,,,,,,,,,,,
alālu,L1086295,L1086295,,,verb,"to sign a joyful song,to boast",,,11,,,,,,,,,,,,,,
ālānû,L1086296,L1086296,,,adj,"living in a foreign place,exile",,,11,,,,,,,,,,,,,,
alātu,L1086297,L1086297,,,verb,to swallow,G,,11,,,,,,,,,,,,,,
alpu,L1086298,L1086298,,,noun,"bull,ox",,,12,,,,,,,,GU₄,,,,,,
ālu,L1086299,L1086299,,,noun,"city,town",,,13,,,,,,,,URU,,,,,,
amahhu,L1086300,L1086300,,,noun,city-wall,,,14,,,,,,,amuhhu,,,,,,,
amāru,L1086301,L1086301,,,verb,to see,G,,14,,,,,,,,IGI;IGI.DU₈,IGI.DU₈,,,,,
amurru,L1086302,L1086302,,,noun,"Amurru,west",,,16,,,,,,,,MAR.TU,,,,,,
amūtu,L1086303,L1086303,,,noun,status of a maid,,,16,,,,,,,,,,,,,,
amūtu,L1086304,L1086304,,,noun,liver,,,16,,,,,,,,BA₃,,,,,,
ana,L1086305,L1086305,,,prep,"to,for",,,16,,,,,,,,DIŠ,,,,,,
anāhu,L1086306,L1086306,,,verb,to be tired,G,,16,,,,,,,,,,,,,,
andurāru,L1086307,L1086307,,,noun,"freedom,exemption",,,17,,,,,,,"andarāru,addurāru",,,,,,,
anqullu,L1086308,L1086308,,,noun,"an atmospheric phenomenon, a fiery glow",,,18,,,,,,,,IZI.AN.NE,,,,,,
anuntu,L1086309,L1086309,,,noun,"fight,combat",,,18,,,,,,,anantu,,,,,,,
Anzu,L1086310,L1086310,,,pn,mythical eagle-like bird monster,,,,,,,,,26,,DINGIR.IM.DUGUD,,,,,,
apālu,L1086311,L1086311,,,verb,"to answer,to pay",G,,19,,,,,,,,,,,,,,
apālu,L1086312,L1086312,,,verb,to be late,G,,19,,,,,,,,,,,,,,
appu,L1086313,L1086313,,,noun,"nose,beak",,,20,,,,,,,,KIR₄,,,,,,
apsû,L1086314,L1086314,,,noun,underground water,,,21,,,,,,,,ABZU,,,,,,
arāhu,L1086315,L1086315,,,verb,to hasten,G,,21,,,,,,,warāhu,,,,,,,
arāhu,L1086316,L1086316,,,verb,to devour,G,,22,,,,,,,,,,,,,,
arallû,L1086317,L1086317,,,noun,netherworld,,,22,,,,,,,arallu,ARALI,,,,,,
arāmu,L1086318,L1086318,,,verb,to cover,G,,22,,,,,,,erēmu,,,,,,,
arhu,L1086319,L1086319,,,adj,fast,,,,,A2 259,,,,,,,,,,,,
arītu,L1086320,L1086320,,,adj,pregnant,,,23,,,,,,,,MUNUS.PEŠ₄,,,,,,
arītu,L1086321,L1086321,,,noun,shield,,,23,,,,,,,,,,,,,,
arkû,L1086322,L1086322,,,adj,"rear,later",,,434,,,,,,,warkû,,,urkû,,,,
arnu,L1086323,L1086323,,,noun,"guilt,fault,penaly",,,24,,,,,,,annu,NAM.TAG.GA,,,,,,
āšipu,L1086324,L1086324,,,noun,sorcerer,,,436,,,,,,,wāšipu,LU₂.MAŠ.MAŠ;LU₂.MU₇.MU₇,LU₂.MU₇.MU₇,,,,,
aškāpu,L1086325,L1086325,,,noun,leatherworker,,,28,,,,,,,,AŠGAB,,,,,,
askuppu,L1086326,L1086326,,,noun,threshold slab,,,26,,,,,,,,NA₄.I.DIB,,aksuppu,,,,
ašqulālu,L1086327,L1086327,,,noun,"lasso,whirlwind,a marine plant",,,28,,,,,,,isqulālu,,,,,,,
ašru,L1086328,L1086328,,,noun,place,,,28,,,,,,,,KI,,,,,,
Aššur,L1086329,L1086329,,,pn,Chief god of Assyria,,,,,,,1;196,,,,DINGIR.AN.ŠAR₂,,,,,,
asurrû,L1086330,L1086330,,,noun,lower course of wall,,,26,,,,,,,,,,,yes,,,
atappu,L1086331,L1086331,,,noun,small canal,,,30,,,,,,,adappu,PA₅,,,,,,
awātu,L1086332,L1086332,,,noun,"word,matter",,,31,,,,,,,amātu,INIM,,,,,,
ayyābu,L1086333,L1086333,,,noun,enemy,,,32,,,,,,,yābu,LU₂.ERIM₂,,,,,,
ayyalu,L1086334,L1086334,,,noun,"deer,stag",,,32,,,,,,,,DARA₃.MAŠ,,"yalu,ya'alu",,,,
bābu,L1086335,L1086335,,,noun,"gate,door",,,35,,,,,,,,KA₂,,,,,,
bakû,L1086336,L1086336,,,verb,to weep,G,,36,,,,,,,,ER₂,,,,,,
balāmu,L1086337,L1086337,,,verb,to gag,G,,36,,,,,,,,,,,,yes,,
balāṣu,L1086338,L1086338,,,verb,to stare,G,,36,,,,,,,,,,,,,,
balāṣu,L1086339,L1086339,,,verb,to thrust?,G,,36,,,,,,,,,,,,,,
balāṭu,L1086340,L1086340,,,verb,to live,G,,36,,,,,,,,TI,,,,,,
banû,L1086341,L1086341,,,verb,to be good,G,,37,,,,,,,,,,,,,,
banû,L1086342,L1086342,,,adj,"good,beautiful",,,37,,,,,,,,,,,,,,
barāmu,L1086343,L1086343,,,verb,"to be variegated,to be multicolored",G,,38,,,,,,,,GUN₃.A,,,,,,
barāqu,L1086344,L1086344,,,verb,"to lighten,to shine",G,,38,,,,,,,,HI.HI,,,,,,
barārītu,L1086345,L1086345,,,noun,"dusk,evening watch",,,38,,,,,,,,EN.NUN.USAN;EN.NUN.USAN₂;EN.NUN.AN.TA;EN.NUN.BAR.RA,,,,,,
barmu,L1086346,L1086346,,,adj,"multicolored,variegated",,,39,,,,,,,,GUN₃.A,,,,,,
barû,L1086347,L1086347,,,verb,"to see,to look at",G,,39,,,,,,,,IGI.KAR₂;IGI;IGI.TAB;BA.AN.E₃;E₃,,,,,,
bārû,L1086348,L1086348,,,noun,diviner,,,39,,,,,,,,LU₂.MAŠ₂.ŠU.GID₂.GID₂;LU₂.HAL;LU₂.AZU;LU₂.NUMUN.LUM,,,,,,
bašāmu,L1086349,L1086349,,,verb,to create,G,,40,,,,,,,,,,,,,,
bašmu,L1086350,L1086350,,,noun,"snake,horned viper",,,40,,,,,,,,MUŠ.ŠA₃.TUR;MUŠ.ŠA₃.TUR₃,,,,,,
batāqu,L1086351,L1086351,,,verb,"to cut off, to divide",G,,41,,,,,,,,,,,,,,
batiqtu,L1086352,L1086352,,,noun,denunciation,,,41,,,,,,,,,,,,,,
batqu,L1086353,L1086353,,,adj,cut off,,,41,,,,,,,,,,,,,,
bēl āli,L1086354,L1086354,,,noun,ruler of a city,,,42,,,,,,,,,,,,,,
belû,L1086355,L1086355,,,verb,"to be extinguished,to come to an end",G,,42,,,,,,,,,,,,,,
belû,L1086356,L1086356,,,adj,extinguished,,,42,,,,,,,,,,,,,,
bêlu,L1086357,L1086357,,,verb,"to rule over,to dispose of",G,,42,,,,,,,,EN,,,,,,
bēlu,L1086358,L1086358,,,noun,"lord,proprietor",,,42,,,,,,,,EN,,,,,,
bēru,L1086359,L1086359,,,noun,"double hour, league",,,43,,,,,,,,DANNA,,,,,,
bibbulu,L1086360,L1086360,,,noun,"flood,day of the disappearance of the moon",,,43,,,,,,,,,,,,,,
biltu,L1086361,L1086361,,,noun,"load,talent,yield,rent,tribute",,,44,,,,,,,,GU₂;GUN,,,,,,
binītu,L1086362,L1086362,,,noun,"creation,shape",,,44,,,,,,,,,,,,,,
birbirrū,L1086363,L1086363,,,noun,"radiance,sparkle",,,45,,,,,,,,,,,,,,
birītu,L1086364,L1086364,,,noun,"space between,distance",,,45,,,,,,,,DAL.BA.AN.NA,,,,,,
birku,L1086365,L1086365,,,noun,"knee,lap",,,45,,,,,,,,,,,,,,
birqu,L1086366,L1086366,,,noun,lightning,,,43,,,,,,,berqu,NIM.GIR₂,,,,,,
birtu,L1086367,L1086367,,,noun,fortress,,,45,,,,,,,bištu,URU.HAL.SU,,,,,,
bītu,L1086368,L1086368,,,noun,house,,,46,,,,,,,,E₂,,bētu,,,,
bu''û,L1086369,L1086369,,,verb,to look for,G,,51,,,,,,,,,,,,,,
bubūtu,L1086370,L1086370,,,noun,"hunger,starvation",,,47,,,,,,,,ŠA₃.GAR;SU.GU₇,,,,,,
būlu,L1086371,L1086371,,,noun,"animals,livestock",,,49,,,,,,,,MAŠ₂.ANŠE,,,,,,
būrtu,L1086372,L1086372,,,noun,cow,,,49,,,,,,,,,,,,,,
būrtu,L1086373,L1086373,,,noun,"cistern,well",,,49,,,,,,,,PU₂,,,,,,
būrtu,L1086374,L1086374,,,noun,cow,,,49,,,,,,,,,,,,,,
būru,L1086375,L1086375,,,noun,"proof,attestation",,,49,,,,,,,,,,,,,,
būṣu,L1086376,L1086376,,,noun,hyaena,,,50,,,,,,,,,,,,,,
būṣu,L1086377,L1086377,,,noun,rock partridge,,,50,,,,,,,,,,,,,,
da'īmu,L1086378,L1086378,,,noun,lance,,,53,,,,,,,,,,,,,,
dabābu,L1086379,L1086379,,,verb,to talk,G,,52,,,,,,,,DU₁₁.DU₁₁,,,,,,
daddu,L1086380,L1086380,,,noun,sole of shoe,,,53,,,,,,,,,,,,,,
dadmû,L1086381,L1086381,,,noun,"the inhabited world,villages,settlements",,,53,,,,,,,,,,,,,,
dādu,L1086382,L1086382,,,noun,"darling,favorite",,,53,,,,,,,daddu,,,,,,,
dagālu,L1086383,L1086383,,,verb,"to see,to look",G,,53,,,,,,,,,,,,,,
dakāku,L1086384,L1086384,,,verb,to crush,G,,53,,,,,,,,,,,,,,
dakāku,L1086385,L1086385,,,verb,"to scamper,to gambol",G,,53,,,,,,,,,,,,,,
dakāšu,L1086386,L1086386,,,verb,to press in,G,,53,,,,,,,,,,,,,,
dâku,L1086387,L1086387,,,verb,"to kill,to beat",G,,53,,,,,,,,GAZ,,,,,,
dalālu,L1086388,L1086388,,,verb,"to be small,to be wretched",G,,54,,,,,,,,,,,,,,
dalālu,L1086389,L1086389,,,verb,to praise,G,,54,,,,,,,,,,,,,,
daltu,L1086390,L1086390,,,noun,door,,,54,,,,,,,,GIŠ.IG;GI.IG,,,,,,
dalû,L1086391,L1086391,,,noun,bucket,,,54,,,,,,,,,,,,,,
dalû,L1086392,L1086392,,,verb,to draw water,G,,54,,,,,,,,BAL,,,,,,
dalû,L1086393,L1086393,,,noun,"needle,pin",,,54,,,,,,,,,,,yes,,,
damāmu,L1086394,L1086394,,,verb,"to wail,to moan",G,,54,,,,,,,,,,,,,,
damiqtu,L1086395,L1086395,,,noun,good fortune,,,55,,,,,,,,MUNUS.SIG₅,,,,,,
damqu,L1086396,L1086396,,,adj,good,,,55,,,,,,,,SIG₅,,,,,,
dāmu,L1086397,L1086397,,,noun,blood,,,55,,,,,,,,UŠ₂,,,,,,
danānu,L1086398,L1086398,,,noun,force;strength,,,55,,,,,,,,,,,,,,
dannatu,L1086399,L1086399,,,noun,hardship;stronghold,,,56,,,,,,,,,,,,,,
dannu,L1086400,L1086400,,,adj,strong;difficult;full-grown;heavy,,,56,,,,,,,,,,,,,,
dayyānu,L1086401,L1086401,,,noun,judge,,,58,,,,,,,,,,,,,,
di'u,L1086402,L1086402,,,noun,an illness affecting the head,,,61,,,,,,,,,,,,,,
diāšu,L1086403,L1086403,,,verb,to tread down,G,,59,,,,,,,,,,,,,,
dipāru,L1086404,L1086404,,,noun,lantern;torch,,,60,,,,,,,,,,,,,,
dīšu,L1086405,L1086405,,,noun,spring grass;spring,,,61,,D 163,,,,,,,,,,,,
dullu,L1086406,L1086406,,,noun,ritual;treatment;trouble;work,,,61,,,,,,,,,,,,,,
dummuqu,L1086407,L1086407,,,adj,elite (soldier);made beautiful;very good,,,62,,,,,,,,,,,,,,
Dumuzi,L1086408,L1086408,,,pn,a divine shepherd,,,,,,,2;239,,75,,,,,,,,
dūru,L1086409,L1086409,,,noun,(city) wall;fortification wall;fortress,,,62,,,,,,,,,,,,,,
dūru,L1086410,L1086410,,,noun,(validity) period;eternity,,,62,,,,,,,,,,,,,,
e'iltu,L1086411,L1086411,,,noun,bond;obligation,,,67,,,,,,,,,,,,,,
ebbu,L1086412,L1086412,,,adj,clean (garment);clear;pure,,,64,,,,,,,,,,,,,,
ebēbu,L1086413,L1086413,,,verb,purify,G,,64,,,,,,,,,,,,,,
ebēhu,L1086414,L1086414,,,verb,gird,G,,64,,,,,,,,,,,,,,
ebēru,L1086415,L1086415,,,verb,cross over,G,,64,,,,,,,,BALA,,,,,,
eblu,L1086416,L1086416,,,noun,rope,,,65,,,,,,,,,,,,,,
ebūru,L1086417,L1086417,,,noun,harvest,,,65,,,,,,,,,,,,,,
ēkallu,L1086418,L1086418,,,noun,palace (personnel);palace,,,67,,,,,,,,,,,,,,
ekēlu,L1086419,L1086419,,,verb,be(come) dark;darken,G,,67,,,,,,,,,,,,,,
ekletu,L1086420,L1086420,,,noun,darkness,,,68,,,,,,,,,,,,,,
eklu,L1086421,L1086421,,,adj,dark (thing);dark,,,68,,,,,,,,,,,,,,
elamû,L1086422,L1086422,,,adj,Elamite,,,68,,,,,,,,,,,,,,
elēlu,L1086423,L1086423,,,verb,be(come) pure;cleanse oneself;clear;purify,G,,69,,,,,,,,,,,,,,
elēnu,L1086424,L1086424,,,adv,above;above;in addition to;upstream;upward,,,69,,,,,,,,,,,,,,
eleppu,L1086425,L1086425,,,noun,boat;ship,,,69,,,,,,,,,,,,,,
ellu,L1086426,L1086426,,,adj,clean (person);clean;holy;pure,,,70,,,,,,,,,,,,,,
elû,L1086427,L1086427,,,verb,arise;be(come) exalted;be(come) raised (as) high;bring up;come forward;come up;dedicate;dedication;donate;extol;go out;go up;going up;installation;load;mount;move up;promote;raise;raising;removal;remove;rise;slip;swear;take up,G,,71,,,,,,,,,,,,,,
elû,L1086428,L1086428,,,adj,above;upper,,,71,,,,,,,,,,,,,,
elû,L1086429,L1086429,,,adj,high;tall,,,71,,,,,,,,,,,,,,
emdu,L1086430,L1086430,,,noun,wood as fumigant,,,71,,,,,,,,,,,,,,
emdu,L1086431,L1086431,,,adj,adjacent;imposed,,,71,,,,,,,,,,,,,,
