abnu,N,,stone
abru,N,,pile of brushwood
abru,N,,wing tip
abu,N,,father
abūbu,N,,flood
adānu,N,,appointed time,fixed date
adīni,AV,,hitherto
agû,N,,corona
agû,N,,wave
aguhhu,N,,sash
ahātu,N,,sister
ahāzu,V,,take
ahu,N,,brother
ai,MOD,,not
akāšu,V,,stealing
alāku,V,,come,go,going,send
ālik mahri,N,,leader
āliku,N,,goer
alkakātu,N,,ways of life
ālu,N,,city
amāru,V,,meet,observe,see
amātu,N,,word
ana,PRP,,as,at,before,for,to
anāhu,V,,tire out
anāku,IP,,I
anantu,N,,battle,war
anhu,AJ,,tired
anna,J,,yes
annû,DP,,this
annu,N,,assent
anqullu,N,,fiery glow
anuntu,N,,combat
apālu,V,,answer
apluhtu,N,,battle-array
appu,N,,beak
apu,N,,reed-bed
arāhu,V,,destroy
arāru,V,,curse
arû,V,,conceive
ašamšūtu,N,,dust storm
ašar,SBJ,,where
ašarēdu,N,,pre-eminent one
aššu,SBJ,,because
attā,IP,,you
awātu,N,,command,idea,word
awû,V,,proclaim,speak
ayyu,QP,,which
banû,V,,build,create,devise,erect
barāqu,V,,blitz,flash,strike (like lightning)
bašmu,AJ,,created
bašû,V,,exist
baṭālu,V,,cease
bēltu,N,,lady
bēlu,N,,lord
belû,V,,extinguish
bēlūtu,N,,lordship
berqu,N,,lightning (flash)
bīnu,N,,son
birbirrū,N,,radiance
birītu,N,,space between
biri-,PRP,,between
bītu,N,,house,temple
bukru,N,,son
būnu,N,,face,features
burku,N,,lap
bussurtu,N,,(good) news
daʾummatu,N,,darkness
daʾummiš,AV,,in pitch dark
dabābu,V,,say,speak
dadmū,N,,inhabited world
dalāhu,V,,disturb,trouble
dalālu,V,,praise
dalhiš,AV,,troubledly
damqu,AJ,,propitious
dāmu,N,,blood
dannu,N,,powerful man
dannūtu,N,,strength
dapīnu,N,,martial one
dekû,V,,launch,raise,raising
diāšu,V,,trample down
ebēru,V,,cross,pass through
ekdūtu,N,,ferocity
ekēmu,V,,rob,take away
ekletu,N,,darkness
ēkurru,N,,temple
elēṣu,V,,rejoice
eli,PRP,,against,on
ellilūtu,N,,divine supremacy
ellu,AJ,,pure
elû,AJ,,high
emēdu,V,,join
emû,V,,turn into
eperu,N,,dust
epēšu,V,,do
epištu,N,,deed
erbe,NU,,four
erēbu,V,,bring in,enter
erēhu,V,,advance aggressively
erēpu,V,,grow dark
ermu,N,,cultivated land
erpetu,N,,cloud
erṣetu,N,,earth
ešû,V,,confuse
ewû,V,,become
gallâniš,AV,,like a gallu-demon
gallû,N,,(a demon)
gamāru,V,,assemble,control
gamru,AJ,,complete
gašri,N,,mighty one
gašru,N,,mighty one
gerû,V,,be(come) hostile to
gimru,N,,all
gipšu,N,,thickening
gugallu,N,,canal inspector
gummuru,AJ,,entire
hadîš,AV,,joyfully
hadû,V,,be(come) joyful
hamāmu,V,,gather
hašû,N,,lung(s)
hayyāšu,N,,one who hastens
hiāšu,V,,hasten
hurbāšu,N,,chill fear
huršānu,N,,mountain
i,MOD,,may
idu,N,,side
ikkillu,N,,clamour
ilittu,N,,offspring
ilu,N,,god
ilūtu,N,,divinity
imbaru,N,,fog
imhullu,N,,destructive wind
immeru,N,,ram
imna,AV,,on the right
imtu,N,,poison
ina,PRP,,after,among,by,from,in,on,with
inanna,AV,,now
īnu,N,,eye
inūma,SBJ,,when
ipiš pî,N,,utterance
ipšu,N,,working
irtu,N,,chest,handhold
iṣṣūru,N,,bird
išdu,N,,foundation
išû,V,,have
itkupu,AJ,,very close
itpēštu,N,,expert
itpēšu,N,,expert
itti,PRP,,with
ittu,N,,sign
izuzzu,V,,stand
kabattu,N,,mood
kakku,N,,clash of weapons,weapon
kala,N,,all
kalû,V,,hold (back)
kalû,N,,all,totality
kamītu,N,,outside
kamsu,AJ,,gathered
kāmû,N,,conqueror
kamû,V,,bind,conquer,defeat
kanāšu,V,,submit
kanû,V,,honour
kapādu,V,,plot
kappu,N,,arrow flight,feather,wing
kāpu,N,,rock
karāšu,N,,devastation,disaster
karšu,N,,heart
kasû,V,,bind
kaṣāṣu,V,,grind one's teeth
kašādu,V,,take control
kāšidu,N,,conqueror
kâšim,IP,,to you
kaššu,AJ,,massive
katāmu,V,,cover
kâti,IP,,you
katmu,AJ,,covered
kī,PRP,,how?,like,when
kibru,N,,world region
kilallān,AJ,,both
kīma,PRP,,instead of,like,when
kiṣṣu,N,,shrine
kišādu,N,,neck
kullatu,N,,all,totality
kurmittu,N,,butterfly
kusarikku,N,,mythical beast
kussû,N,,throne
kuṣṣu,AJ,,flayed
lā,MOD,,not
lābu,N,,lion
lawû,AJ,,surrounding
leʾû,AJ,,able
lemnu,AJ,,evil
leqû,V,,receive,take
leqû,AJ,,possessed
libbu,N,,heart,interior
lītu,N,,victory
lū,CNJ,,or
lū,MOD,,may
mādiš,AV,,greatly
magru,AJ,,favoured
mahāru,V,,opposing
māhāzu,N,,shrine
