aʾlu,N,,confederation?
abāku,V,,deliver,lead away
abāku,V,,overturn
abarakkatu,N,,stewardess
abarakku,N,,steward
abarakkūtu,N,,function of stewardess
abāru,N,,physical strength
abāru,N,,(the metal) lead
abāru,V,,denounce
abātu,V,,collapse,destroy,destroying
abātu,V,,run away
abbu,N,,swamp
abbūtu,N,,fatherhood
abiktu,N,,defeat
ābiku,N,,one who overturns
ablu,AJ,,dry
abnu,N,,stone
abriš,AV,,like a stack of wood
abru,N,,pile of brushwood
abru,N,,humanity
absinnu,N,,furrow
abšānu,N,,yoke
abtu,AJ,,destroyed
abtu,N,,destroyed one
abu,N,,ancestor,father
abūbāniš,AV,,like a flood
abūbu,N,,deluge monster,flood
abullu,N,,city gate,gate
abunnatu,N,,centre
aburriš,AV,,in a green pasture
adanniš,AV,,greatly
adānu,N,,appointed time
adappu,N,,horizontal crossbeam
adāru,V,,be(come) afraid,become restless,fear
adi,PRP,,times,to,together with,until,until,while,with
adīni,AV,,hitherto
adīriš,AV,,fearfully
ādiru,N,,full of awe,full of fear
adnātu,N,,people,world
adû,N,,treaty
adurû,N,,village
aduššu,N,,enclosure wall
agāgu,V,,be(come) furious
agālu,N,,donkey
agammu,N,,marsh(es)
agannutillû,N,,dropsy
agappu,N,,wing
agarinnu,N,,mother
agasalakku,N,,(a type of metal plating)
aggiš,AV,,furiously
aggu,AJ,,furious
aggu,N,,fury
agû,N,,crown
agû,N,,flood
agurru,N,,baked brick
ahāmiš,RP,,one another
ahannâ,AV,,on this bank
ahāru,V,,delay
ahātu,N,,sister
ahāzu,V,,ignite,incite,inlay,instruct,instructing,learn,make something take hold of,take,teach
ahennâ,AV,,each by it/himself
ahhūtu,N,,brotherly relations
ahītu,N,,surroundings
āhizu,N,,informed person
ahrâtaš,AV,,for ever after
ahrītu,N,,later time
ahû,AJ,,foreign
ahû,N,,outside(r)
ahu,N,,arm,flank,shore,side
ahu,N,,brother
ahulap,J,,(an exclamation used to express or to seek compassion)
ahurrû,N,,social inferior
ai,J,,alas!
ai,MOD,,not
akalu,N,,@i{akalu},bread,food
akālu,V,,allow to eat,eat
akāmu,N,,dust-cloud
akanna,AV,,here
akī,PRP,,as,with
ākilu,N,,that eats
akītu,N,,(a cultic festival)
Akkadû,N,,Akkadian language
akkullu,N,,pick(axe)
aklu,AJ,,broken
akṣu,AJ,,brazen,dangerous
akṣu,N,,dangerous one,dangerous person
akû,N,,weak one
akukūtu,N,,firebrand
akûtu,N,,state of being crippled
aladlammû,N,,human-headed bull-colossus
alaktu,N,,course,flow,way
alāku,V,,advance,blowing,constantly go,course,flow,follow,go,going,living,make go,make something (become),make something become,making something (become),march,marching,passage,walk about,walk
alallu,N,,(a stone)
alālu,V,,hang up
alālu,V,,celebrate
alālu,N,,work song
alamittu,N,,(a wild species of date palm)
alandimmû,N,,physique
āliku,N,,goer
alkakātu,N,,actions,ways of life
allāku,N,,messenger
allu,N,,hoe
alluttu,N,,crab
almattu,N,,widow
alpu,N,,ox
alû,N,,(an evil demon)
ālu,N,,city
amahhu,N,,city wall
amaru,N,,side wall
amāru,V,,be found,be seen,constantly see,experience,inspect,learn,meet,read,reading,see,seeing
ambassu,N,,(game-)park
ambatu,N,,wetland
āmeru,N,,one who sees
amīlānu,N,,(a medical plant)
ammar,PRP,,as much as
ammatu,N,,a unit of length
ammīni,QP,,why?
ammûri,AV,,likewise
amru,AJ,,agreeable,chosen,seen
amru,N,,chosen one
amšāla,AV,,yesterday
amurdinnu,N,,bramble?
amurru,N,,the West,west
amūtu,N,,liver
ana,PRP,,about,against,among,as,at,by,for,in,into,on account of,on,through,to,with regard to
anāhu,V,,be(come) dilapidated,be(come) tired,endure,make someone make an effort,strain
anāku,IP,,I
anantu,N,,battle
anāqāte,N,,she-camels
andullu,N,,protection
andurāru,N,,exemption,freedom
andurunna,N,,heavenly abode
angubbû,N,,(a class of priest)
anhu,AJ,,tired
anhu,N,,dilapidated section(s)
anhūtu,N,,dilapidated section(s),dilapidation,tiredness
anīhu,AJ,,tired
anna,J,,yes
annaku,N,,tin
annanna,XP,,so-and-so,such-and-such
annû,DP,,this
annû,N,,this one
annu,N,,approval,yes
antallû,N,,eclipse
anuntu,N,,fight
Anūtu,N,,highest rank
anzanunzû,N,,subterranean water
anzillu,N,,abomination
anzû,N,,lion-headed eagle
apālu,V,,answer,discuss
apāru,V,,be crowned,cover the head
apâtu,N,,humanity
apiš,AV,,like reed-beds
apkallu,N,,expert,sage
aplu,N,,heir
appāru,N,,marsh
appātu,N,,portico
appatu,N,,rein
appu,N,,nose
apru,AJ,,with head covered
apsasû,N,,(an exotic bovid),sphinx
apsû,N,,(cosmic) underground water
aptu,N,,window
apu,N,,reed-bed,reeds
arahhu,N,,a genre of Sumerian songs
arāhu,V,,send speedily
arāku,V,,be(come) long,lengthen,lengthening,prolong
arammu,N,,ramp
arāmu,V,,place (tablet) in a (clay) envelope
arâniš,AV,,like eagles
arāru,V,,curse
arattû,AJ,,excellent
arbaʾu,NU,,four
arbu,AJ,,uncultivated
arbūtiš,AV,,into a barren land
arbūtu,N,,barren land,desolation
argamannu,N,,purple
arhiš,AV,,quickly
arhu,N,,cow
arhu,AJ,,fast
ariru,N,,(an epithet of fire)
arītu,N,,shield bearer,shield
arkāniš,AV,,back
arkiš,AV,,back
arku,AJ,,long
armanniš,AV,,like an apricot
armannu,N,,apricot? (tree)
armu,N,,mountain goat
arnu,N,,guilt,punishment
arratu,N,,curse
arû,N,,product in multiplication
arūru,N,,outlet of a canal
asakku,N,,(an evil demon)
asakku,N,,taboo
asallu,N,,(a copper vessel)
askuppu,N,,(threshold) slab
asliš,AV,,like sheep
aslu,N,,ram
aslu,N,,unit
asmātu,N,,(a type of horse trappings)
asmiš,AV,,in a fitting manner
asmu,AJ,,verdant
assaru,N,,charioteer
asu,N,,bear
asû,N,,physician
asumittu,N,,stele
asurrakku,N,,subterranean waters
asurrû,N,,lower course
ašāgu,N,,(a common spiny plant)
ašamšāniš,AV,,like a dust storm
ašamšūtu,N,,dust storm
ašarēdu,AJ,,first and foremost
ašarēdu,N,,first and foremost one,official
ašarettu,N,,crack troops
ašāru,V,,organize,review
ašâtu,N,,reins
ašgagu,N,,fight
ašgigû,N,,(a mineral)
āširu,N,,inspector
aškāpu,N,,leatherworker
aškuttu,N,,locking bar
ašlu,N,,unit
ašnan,N,,grain
ašnugallu,N,,alabaster
ašqulālu,N,,(a marine plant)
ašru,N,,(divine) abode,country,emplacement,place,site
aššatu,N,,wife
aššu,PRP,,as for,because (of),because,in order to,so that
aštammu,N,,tavern woman
atamru,N,,first-hand account?
atappiš,AV,,like a canal
atappu,N,,(small) canal
atbaru,N,,basalt
athû,N,,companions
attā,IP,,you
attartu,N,,(military) cart
attī,IP,,you
attū-,IP,,belonging to
atulīmānu,N,,both hands
atûtu,N,,function of gatekeeper
atwû,N,,speech
awātu,N,,command,word
awīl narkabti,N,,charioteer
awīlu,N,,man
awīlūtu,N,,humanity,person
awû,V,,deliberate,speak
ayyābu,N,,enemy
ayyakku,N,,(a type of sanctuary)
ayyalu,N,,stag
ayyaru,N,,rosette
ayyaru,N,,young man
ayyumma,XP,,any,whoever
azannu,N,,(a type of vessel)
azaru,N,,lynx
azmarû,N,,lance
baʾʾītu,N,,desired object
baʾālu,V,,be exceptionally bright
baʾāšu,V,,besmirch
bāʾeru,N,,fisherman
baʾlu,AJ,,exceptionally bright
baʾlu,N,,great number
bâʾu,V,,cause water to flow over,go along,walk
baʾūlātu,N,,people,subjects
babālu,V,,be carried,carry
bābānû,AJ,,outer
bābilu,N,,one who carries
bābtu,N,,city quarter
bābu,N,,gate,opening
bahūlātu,N,,men
bakru,N,,foal
bakû,V,,weep
bakû,AJ,,weeping
balālu,V,,mingle,mix (up)
balāṭu,N,,life
balāṭu,V,,keep alive,live,living,preservation,spare,sparing
ballu,AJ,,mixed
baltu,N,,(a spiny plant)
balṭu,AJ,,lifelike,living
balṭu,N,,living one
balṭūtu,N,,state of being alive
balu,PRP,,without
bâlu,V,,supplicate
bamātu,N,,open country,plain
banduddû,N,,bucket
bāntiš,AV,,like a mother
bānû,N,,builder,creator,engenderer
banû,V,,beautify
banû,V,,be created,be fashioned,build,building,create,creating,fashion,have built
banû,AJ,,created
banû,AJ,,beautiful,good
banû,N,,something good
baqāmu,V,,pluck,plucking
baqqu,N,,(small) fly
BAR.GÙN.GÙN.NU,N,,(a type of stone)
barakku,N,,(a corridor)
barāmu,V,,seal (up)
bārānû,N,,rebel
barāqu,V,,causing lightning to strike,flash repeatedly
barbaru,N,,wolf
barmu,AJ,,engraved
bārtu,N,,revolt
bārû,N,,diviner
bâru,V,,be firm
bâru,V,,catch
barû,V,,be(come) visible,inspect,inspection,let appear,looking for,make appear,make see,perform divination,search,seeing
barû,AJ,,checked
bārûtu,N,,work of the diviner
bāṣiš,AV,,like sand
bāṣu,N,,sand
bašālu,V,,cast,melting
bašāmu,V,,allocate
bašāmu,V,,create
bašāmu,N,,sackcloth
bašlu,AJ,,cooked
bašmu,N,,horned viper
bāštu,N,,(source of) pride,dignity
bâšu,V,,be(come) ashamed
bašû,V,,appear,bring into existence,bringing into existence,come into being,exist,existing,make (s.o.'s ears) fix on
bāšû,AJ,,existing
batāqu,V,,be opened,cut off,hew
baṭālu,V,,ceasing,discontinue,fall into disuse
baṭiltu,N,,interruption
baṭlu,AJ,,ceased,disused
bēl āli,N,,city ruler
bēl narkabti,N,,charioteer
bēl pīhāti,N,,governor
bēltu,N,,lady
bêlu,V,,rule (over),ruling (over)
bēlu,N,,lord,owner
belû,V,,come to an end
bēlūtu,N,,lordship
bēlūtu,N,,lordship,rule
berâtu,N,,waters
berqu,N,,lightning (flash)
bēru,AJ,,distant
bēru,N,,double hour
bēru,AJ,,choice,selected
bêru,V,,choose
bērūtu,N,,mound
berûtu,N,,starvation
