url,designation,ancient_author,ancient_recipient,date,provenience,ruler,genre,dialect,script,sender_loc
http://oracc.org/saao/saa15/P224449,SAA 15 084,Nabu-belu-ka’’in,the king,708,Nimrud (Kalhu),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P237089,SAA 15 014,Issar-duri,the king,717-706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arrapha
http://oracc.org/saao/saa15/P238649,SAA 15 368,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313420,SAA 15 164,Il-yada’,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Dur-Kurigalzu
http://oracc.org/saao/saa15/P313421,SAA 15 237,Šarru-emuranni,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Babylon
http://oracc.org/saao/saa15/P313434,SAA 15 025,Nabu-belu-ka’’in,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Diyala region
http://oracc.org/saao/saa15/P313442,SAA 15 074,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,"Parsua, Bit-Hamban, or Bit-Sangibuti"
http://oracc.org/saao/saa15/P313444,SAA 15 172,Il-yada’,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Dur-Kurigalzu
http://oracc.org/saao/saa15/P313454,SAA 15 048,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Diyala region
http://oracc.org/saao/saa15/P313470,SAA 15 062,Aššur-belu-uṣur,the king,707-706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kisheshim
http://oracc.org/saao/saa15/P313476,SAA 15 151,unknown,the king,717-706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der region
http://oracc.org/saao/saa15/P313477,SAA 15 104,Mannu-ki-Ninua,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P313479,SAA 15 177,Aššur-belu-taqqin,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Northern Babylonia
http://oracc.org/saao/saa15/P313481,SAA 15 108,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P313482,SAA 15 367,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313483,SAA 15 161,Il-yada’,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Dur-Kurigalzu
http://oracc.org/saao/saa15/P313486,SAA 15 292,Nergal-...,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313492,SAA 15 119,Šamaš-belu-uṣur,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313496,SAA 15 110,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P313498,SAA 15 059,Aššur-belu-uṣur,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kisheshim
http://oracc.org/saao/saa15/P313501,SAA 15 370,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313504,SAA 15 113,Šamaš-belu-uṣur,the king,707,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313506,SAA 15 216,unknown,the king,710-709,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Assyria
http://oracc.org/saao/saa15/P313507,SAA 15 037,Nabu-belu-ka’’in,the king,707,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Diyala region
http://oracc.org/saao/saa15/P313508,SAA 15 092,Mannu-ki-Ninua,the king,708,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P313515,SAA 15 226,Šarru-emuranni,the king,706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Babylon
http://oracc.org/saao/saa15/P313517,SAA 15 150,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der region
http://oracc.org/saao/saa15/P313518,SAA 15 259,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313560,SAA 15 176,Il-yada’,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Dur-Kurigalzu
http://oracc.org/saao/saa15/P313573,SAA 15 041,Nabu-belu-ka’’in,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Diyala region
http://oracc.org/saao/saa15/P313576,SAA 15 055,Nabu-remanni,the king,708,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Parsua
http://oracc.org/saao/saa15/P313581,SAA 15 028,Nabu-belu-ka’’in,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Diyala region
http://oracc.org/saao/saa15/P313586,SAA 15 165,Il-yada’,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Dur-Kurigalzu
http://oracc.org/saao/saa15/P313594,SAA 15 372,...ya,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313595,SAA 15 321,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313596,SAA 15 356,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313601,SAA 15 200,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Assyria
http://oracc.org/saao/saa15/P313610,SAA 15 080,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,"Parsua, Bit-Hamban, or Bit-Sangibuti"
http://oracc.org/saao/saa15/P313613,SAA 15 373,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313617,SAA 15 019,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arrapha
http://oracc.org/saao/saa15/P313618,SAA 15 353,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313620,SAA 15 076,unknown,the king,707,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,"Parsua, Bit-Hamban, or Bit-Sangibuti"
http://oracc.org/saao/saa15/P313622,SAA 15 302,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313624,SAA 15 318,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313632,SAA 15 018,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arrapha
http://oracc.org/saao/saa15/P313635,SAA 15 078,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,"Parsua, Bit-Hamban, or Bit-Sangibuti"
http://oracc.org/saao/saa15/P313637,SAA 15 128,Šamaš-belu-uṣur,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Der
http://oracc.org/saao/saa15/P313639,SAA 15 374,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313643,SAA 15 341,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313646,SAA 15 357,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313647,SAA 15 088,Nabu-belu-ka’’in,the king,707,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P313652,SAA 15 242,unknown,the king,709,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313653,SAA 15 230,Šarru-emuranni,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Babylon
http://oracc.org/saao/saa15/P313654,SAA 15 348,unknown,the king,717-706,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313657,SAA 15 250,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313659,SAA 15 195,unknown,the king,710,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Assyria
http://oracc.org/saao/saa15/P313666,SAA 15 022,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Arrapha
http://oracc.org/saao/saa15/P313667,SAA 15 097,Mannu-ki-Ninua,the king,707,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Kar-Sharrukin
http://oracc.org/saao/saa15/P313673,SAA 15 375,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,(unknown)
http://oracc.org/saao/saa15/P313675,SAA 15 261,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
http://oracc.org/saao/saa15/P313680,SAA 15 254,unknown,the king,721-705,Kuyunjik (Nineveh),Sargon II,Administrative Letter,Neo-Assyrian,Neo-Assyrian,Central or Southern Babylonia
