0	1	ēkal	ēkallu	NOUN	N	Case=Acc|Focus=No|Gender=Masc|NounBase=Bound|Number=Sing	0	ROOT	_	_
1	2	Aššur-ahu-iddina	aššur-ahu-iddina	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	1	nmod:poss	_	_
2	3	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	_	_
3	4	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	3	amod	_	_
4	5	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
5	6	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	5	nmod:poss	_	_
6	7	šar	šarru	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
7	8	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	7	nmod:poss	_	_
8	9	Aššur	aššur	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	8	nmod:poss	_	_
9	10	mār	māru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
10	11	Sin-ahhe-eriba	sin-ahhe-eriba	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	10	nmod:poss	_	_
11	12	šar	šarru	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	11	appos	_	_
12	13	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	12	nmod:poss	_	_
13	14	Aššur	aššur	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	13	nmod:poss	_	_
14	15	mār	māru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	11	appos	_	_
15	16	Šarru-ukin	šarru-ukin	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	15	nmod:poss	_	_
16	17	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	16	appos	_	_
17	18	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	17	nmod:poss	_	_
18	19	Aššur	aššur	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	18	nmod:poss	_	_
