0	1	anāku	anāku	PRON	IP	Case=Nom|Gender=Com|Number=Sing|Person=1	21	nsubj	_	_
1	2	Aššur-ahu-iddina	aššur-ahu-iddina	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	1	appos	_	_
2	3	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	_	_
3	4	rabû	rabû	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	3	amod	_	_
4	5	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Free|Number=Sing	2	appos	_	_
5	6	dannu	dannu	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	5	amod	_	_
6	7	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
7	8	kiššati	kiššatu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	7	nmod:poss	_	_
8	9	šar	šarru	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	2	appos	_	_
9	10	māt	mātu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Bound|Number=Sing	9	nmod:poss	_	_
10	11	Aššur	aššur	PROPN	GN	Gender=Masc|Number=Sing|Case=Gen	10	nmod:poss	_	_
11	12	tēnê	tēnû	NOUN	N	Gender=Masc|Number=Sing|Case=Acc|NounBase=Bound	21	obj	_	_
12	13	bīt	bītu	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	12	nmod	_	_
13	14	ridûti	ridûtu	NOUN	N	Case=Gen|Gender=Fem|NounBase=Free|Number=Sing	13	nmod:poss	_	_
14	15	qereb	qerbu	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	13	nmod	_	_
15	16	ša	ša	ADP	PRP	_	17	case	_	_
16	17	āli	ālu	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	15	nmod	_	_
17	18	ša	ša	ADP	PRP	_	19	case	_	_
18	19	Ninua	ninua	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	17	nmod	_	_
19	20	eššiš	eššiš	ADV	AV	Case=Ter	21	advmod	_	_
20	21	ēpuš	epēšu	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
