0	1	a-bat	a-bat	PROPN	EN	_	3	advmod	_	_
1	2	LUGAL	lugal	ADV	WN	_	1	nmod:poss	_	_
2	3	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
3	5	LU₂}šak-ni	lu₂}šak-ni	X	X	_	_	_	_	_
4	6	07	07	NUM	NUM	_	7	nummod	_	_
5	7	me	me	X	X	_	_	_	_	_
6	9	TUG₂}ma-qar-rat	tug₂}ma-qar-rat	PROPN	X	_	_	_	_	_
7	10	ša	ša	ADP	PRP	_	_	_	_	_
8	12	ŠE}IN.NU	še}in.nu	NOUN	NOUN	_	_	_	_	_
9	13	07	07	NUM	NUM	_	14	nummod	_	_
10	14	me	me	X	X	_	_	_	_	_
11	15	e-bi-is-su	e-bi-is-su	X	X	_	_	_	_	_
12	16	ša	ša	ADP	PRP	_	_	_	_	_
13	18	GI}AMBAR-MEŠ	gi}ambar-meš	NOUN	u	_	17	conj	_	_
14	19	ša	ša	ADP	PRP	_	20	case	_	_
15	20	01-et	01-et	PROPN	DN	_	17	nmod	_	_
16	21	e-bi-is-si	e-bi-is-si	ADJ	u	_	20	amod	_	_
17	22	ANŠE.NITA₂	anše.nita₂	NOUN	N	Gender=Masc|Number=Sing	17	conj	_	_
18	23	la	la	X	X	_	_	_	_	_
19	24	e-mu-qa-šu₂-u-ni	e-mu-qa-šu₂-u-ni	X	X	_	_	_	_	_
20	25	la	la	X	X	_	_	_	_	_
21	26	i-mat-ta-hu-u-ni	i-mat-ta-hu-u-ni	X	X	_	_	_	_	_
22	27	UD	ud	X	X	_	_	_	_	_
23	28	01-KAM	01-kam	ADJ	ADJ	_	_	_	_	_
24	29	ša	ša	ADP	PRP	_	_	_	_	_
25	31	ITI}GAN	iti}gan	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
26	32	ina	ina	ADP	PRP	_	_	_	_	_
27	34	URU}BAD₃-MAN-GIN	uru}bad₃-man-gin	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
28	35	lu	lu	PART	PART	_	36	case	_	_
29	36	qur-bu	qur-bu	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Sing	41	nsubj	_	_
30	37	01-en	01-en	ADJ	DET	Case=Nom|Gender=Masc|Number=Sing	36	nmod	_	_
31	38	UD-mu	ud-mu	NOUN	N	Case=Nom|Gender=Masc|NounBase=Bound|Number=Sing	36	conj	_	_
32	39	e-te-ti-iq	e-te-ti-iq	DET	N|_	_	36	nmod	_	_
33	40	ta-mu-at	ta-mu-at	NOUN	u	_	36	appos	_	SpaceAfter=No
