0	1	ni-il-lak	ni-il-lak	VERB	NOUN	Gender=Com|Mood=Ind|Number=Plur|Person=1|Tense=Pres	0	ROOT	_	_
1	2	x	x	X	X	_	_	_	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	ID₂	id₂	PROPN	PROPN	_	_	_	_	_
8	9	ub-ta-x-x	ub-ta-x-x	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|VerbStem=D	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	x	x	X	X	_	_	_	_	_
11	12	x	x	X	X	_	_	_	_	_
12	13	x	x	X	X	_	_	_	_	_
13	15	GIŠ}UR₃-MEŠ	giš}ur₃-meš	X	X	_	_	_	_	_
14	16	KALAG-MEŠ	kalag-meš	X	X	_	_	_	_	_
15	17	x	x	X	X	_	_	_	_	_
16	18	x	x	X	X	_	_	_	_	_
17	19	x	x	X	X	_	_	_	_	_
18	20	x	x	X	X	_	_	_	_	_
19	21	x	x	X	X	_	_	_	_	_
20	22	a-sa-al-šu₂	a-sa-al-šu₂	NOUN	NUM	Case=Acc|Gender=Fem|Number=Sing|PossSuffGen=Masc|PossSuffNum=Sing|PossSuffPer=3	23	obj	_	_
21	23	nu-uk	nu-uk	VERB	VERB	Gender=Masc|Mood=Imp|Number=Sing|Person=2|Ventive=Yes|VerbStem=G	_	_	_	_
22	24	a-a-ka	a-a-ka	PROPN	X	Gender=Masc	_	_	_	_
23	25	kar-ru	kar-ru	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
24	26	x	x	X	X	_	_	_	_	_
25	27	x	x	X	X	_	_	_	_	_
26	28	ša	ša	ADP	PRP	_	_	_	_	_
27	29	la	la	X	X	_	30	case	_	_
28	30	mu-qa-a-ni	mu-qa-a-ni	X	X	_	_	_	_	_
29	31	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
30	32	x	x	X	X	_	_	_	_	_
31	33	x	x	X	X	_	_	_	_	_
32	34	x	x	X	X	_	_	_	_	_
33	35	x	x	X	X	_	_	_	_	_
