0	2	1}{d}x	1}{d}x	PROPN	PN	Gender=Masc|Number=Sing	_	_	_	_
1	3	x	x	X	X	_	_	_	_	_
2	4	x	x	X	X	_	_	_	_	_
3	5	x	x	X	X	_	_	_	_	_
4	6	x	x	X	X	_	_	_	_	_
5	7	x	x	X	X	_	_	_	_	_
6	8	x	x	X	X	_	_	_	_	_
7	9	x	x	X	X	_	_	_	_	_
8	10	x	x	X	X	_	_	_	_	_
9	11	ša	ša	ADP	PRP	_	_	_	_	_
10	12	x	x	X	X	_	_	_	_	_
11	13	x	x	X	X	_	_	_	_	_
12	14	x	x	X	X	_	_	_	_	_
13	15	x	x	X	X	_	_	_	_	_
14	16	x	x	X	X	_	_	_	_	_
15	17	x	x	X	X	_	_	_	_	_
16	18	x	x	X	X	_	_	_	_	_
17	19	x	x	X	X	_	_	_	_	_
18	20	x	x	X	X	_	_	_	_	_
19	21	ma-a	ma-a	X	X	_	_	_	_	_
20	22	x	x	X	X	_	_	_	_	_
21	23	x	x	X	X	_	_	_	_	_
22	24	x	x	X	X	_	_	_	_	_
23	25	x	x	X	X	_	_	_	_	_
24	26	x	x	X	X	_	_	_	_	_
25	27	x	x	X	X	_	_	_	_	_
26	28	x	x	X	X	_	_	_	_	_
27	29	x	x	X	X	_	_	_	_	_
28	30	du-x	du-x	X	X	_	_	_	_	_
29	31	x	x	X	X	_	_	_	_	_
30	32	x	x	X	X	_	_	_	_	_
31	33	x	x	X	X	_	_	_	_	_
32	34	x	x	X	X	_	_	_	_	_
33	35	x	x	X	X	_	_	_	_	_
34	36	x	x	X	X	_	_	_	_	_
35	37	x	x	X	X	_	_	_	_	_
36	38	x	x	X	X	_	_	_	_	_
37	39	ma-a	ma-a	X	X	_	_	_	_	_
38	40	pa-an	pa-an	NOUN	NOUN	_	_	_	_	_
39	41	x	x	X	X	_	_	_	_	_
40	42	x	x	X	X	_	_	_	_	_
41	43	x	x	X	X	_	_	_	_	_
42	44	x	x	X	X	_	_	_	_	_
43	45	x	x	X	X	_	_	_	_	_
44	46	x	x	X	X	_	_	_	_	_
45	47	x	x	X	X	_	_	_	_	_
46	48	u₂-sa-ga-li-ia	u₂-sa-ga-li-ia	X	VERB	_	_	_	_	_
47	49	ma-a	ma-a	X	X	_	_	_	_	_
48	50	x	x	X	X	_	_	_	_	_
49	51	x	x	X	X	_	_	_	_	_
50	52	x	x	X	X	_	_	_	_	_
51	53	x	x	X	X	_	_	_	_	_
52	54	na-gi-e	na-gi-e	X	X	_	_	_	_	_
53	56	LU₂}EN.NAM	lu₂}en.nam	NOUN	NOUN	_	_	_	_	_
54	57	x	x	X	X	_	_	_	_	_
55	58	x	x	X	X	_	_	_	_	_
56	59	x	x	X	X	_	_	_	_	_
57	60	x	x	X	X	_	_	_	_	_
58	61	x	x	X	X	_	_	_	_	_
59	62	ma-a	ma-a	ADP	ADP	_	_	_	_	_
60	63	TA@v	ta@v	NOUN	N	_	_	_	_	_
61	64	ŠA₃-bi	ša₃-bi	PROPN	DN	Gender=Masc	_	_	_	_
62	65	a-x+x	a-x+x	X	X	_	_	_	_	_
63	66	x	x	X	X	_	_	_	_	_
64	67	x	x	X	X	_	_	_	_	_
65	68	x	x	X	X	_	_	_	_	_
66	69	i-ta-lak	i-ta-lak	VERB	VERB	_	_	_	_	_
67	70	ma-a	ma-a	X	X	_	_	_	_	_
68	71	an-nu-rig	an-nu-rig	ADV	ADV	_	_	_	_	_
69	72	x	x	X	X	_	_	_	_	_
70	73	x	x	X	X	_	_	_	_	_
71	74	x	x	X	X	_	_	_	_	_
72	75	KUR-šu	kur-šu	NOUN	NOUN	_	_	_	_	_
73	76	ša-za-bu-sa-te	ša-za-bu-sa-te	NOUN	X	Gender=Masc|Number=Sing	_	_	_	_
74	77	x	x	X	X	_	_	_	_	_
75	78	x	x	X	X	_	_	_	_	_
76	79	x	x	X	X	_	_	_	_	_
77	80	ma-a	ma-a	X	X	_	81	case	_	_
78	81	ša-za-bu-su	ša-za-bu-su	ADJ	ADJ	Case=Nom|Gender=Masc|Number=Plur|SubSuff=Yes	_	_	_	_
79	82	x	x	X	X	_	_	_	_	_
80	83	x	x	X	X	_	_	_	_	_
81	84	x	x	X	X	_	_	_	_	_
82	85	x	x	X	X	_	_	_	_	_
83	86	ma-a	ma-a	X	X	_	_	_	_	_
84	87	ina	ina	ADP	PRP	_	88	case	_	_
85	88	UGU	ugu	PROPN	X	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
86	90	LU₂}EN.NAM	lu₂}en.nam	NOUN	NOUN	_	_	_	_	_
87	91	x	x	X	X	_	_	_	_	_
88	92	x	x	X	X	_	_	_	_	_
89	93	x	x	X	X	_	_	_	_	_
90	94	x	x	X	X	_	_	_	_	_
91	95	07	07	NUM	NUM	_	_	_	_	_
92	96	me	me	X	X	_	_	_	_	_
93	98	LU₂}ERIM-MEŠ	lu₂}erim-meš	X	X	_	_	_	_	_
94	99	x	x	X	X	_	_	_	_	_
95	100	x	x	X	X	_	_	_	_	_
96	101	x	x	X	X	_	_	_	_	_
97	102	x	x	X	X	_	_	_	_	_
98	103	x	x	X	X	_	_	_	_	_
99	104	x	x	X	X	_	_	_	_	SpaceAfter=No
