0	1	ša	ša	PRON	PRON	_	4	obj	_	_
1	2	šarru	šarru	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Nom	4	nsubj	_	_
2	3	bēlī	bēlu	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Nom|PossSuffNum=Sing|PossSuffPer=1|PossSuffGen=Com	2	appos	_	_
3	4	išpuranni	šapāru	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Tense=Past|Mood=Ind|VerbForm=Fin|VerbStem=G|Ventive=Yes|SubSuff=Yes	0	ROOT	_	_
4	5	mā	mā	PART	Quotative	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x+x	x+x	X	X	_	_	_	_	SpaceAfter=No
9	10	MEŠ	MEŠ	X	X	_	_	_	_	_
10	11	muhuršu	mahāru	VERB	_	Gender=Masc|Number=Sing|Person=2|Mood=Imp|VerbStem=G|VerbSuffNum=Sing|VerbSuffPer=3|VerbSuffGen=Masc	_	_	_	_
11	12	x	x	X	X	_	_	_	_	_
12	13	x	x	X	X	_	_	_	_	_
13	14	x	x	X	X	_	_	_	_	_
14	15	x+x	x+x	X	X	_	_	_	_	_
15	16	02	02	NUM	NUM	_	17	nummod	_	_
16	17	šēpē	šēpu	NOUN	_	Gender=Fem|Number=Plur	_	_	_	_
17	18	x	x	X	X	_	_	_	_	_
18	19	x	x	X	X	_	_	_	_	_
19	20	x	x	X	X	_	_	_	_	_
20	21	x	x	X	X	_	_	_	_	_
21	22	šakin	šaknu	NOUN	NOUN	_	_	_	_	_
22	23	x	x	X	X	_	_	_	_	_
23	24	x	x	X	X	_	_	_	_	_
24	25	x	x	X	X	_	_	_	_	_
25	26	x	x	X	X	_	_	_	_	_
26	27	assaʾalšu	ša'ālu	X	VERB	Gender=Com|Number=Sing|Person=1|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=G|VerbSuffNum=Sing|VerbSuffPer=3|VerbSuffGen=Masc	_	_	_	_
27	28	x	x	X	X	_	_	_	_	_
28	29	x	x	X	X	_	_	_	_	_
29	30	x	x	X	X	_	_	_	_	_
30	31	x	x	X	X	_	_	_	_	_
31	32	x	x	X	X	_	_	_	_	_
32	33	x	x	X	X	_	_	_	_	_
33	34	x	x	X	X	_	_	_	_	_
34	35	x	x	X	X	_	_	_	_	_
35	36	x	x	X	X	_	_	_	_	_
36	37	x	x	X	X	_	_	_	_	_
37	38	x	x	X	X	_	_	_	_	_
38	39	x	x	X	X	_	_	_	_	_
39	40	x	x	X	X	_	_	_	_	_
40	41	x	x	X	X	_	_	_	_	_
41	42	x	x	X	X	_	_	_	_	_
42	43	x	x	X	X	_	_	_	_	_
43	44	x	x	X	X	_	_	_	_	_
44	45	ūm	ūmu	NOUN	NOUN	_	49	obl	_	_
45	46	x	x	ADJ	_	_	45	nmod:poss	_	SpaceAfter=No
47	48	KAM₂	KAM₂	ADJ	ADJ	_	46	fixed	_	_
48	49	aṣṣabat	ṣabātu	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
49	50	x	x	X	X	_	_	_	_	_
50	51	x	x	X	X	_	_	_	_	_
51	52	x	x	X	X	_	_	_	_	_
52	53	x	x	X	X	_	_	_	_	_
53	54	ina	ina	ADP	ADP	_	55	case	_	_
54	55	kaspi	kaspu	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Gen	60	obl	_	_
55	56	x	x	X	X	_	_	_	_	_
56	57	x	x	X	X	_	_	_	_	_
57	58	x	x	X	X	_	_	_	_	_
58	59	x	x	X	X	_	_	_	_	_
59	60	liddin	tadānu	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Mood=Prec|VerbStem=G	_	_	_	_
60	61	x	x	X	X	_	_	_	_	_
61	62	x	x	X	X	_	_	_	_	_
62	63	x	x	X	X	_	_	_	_	_
63	64	x	x	X	X	_	_	_	_	SpaceAfter=No
65	66	za	za	NOUN	NOUN	_	_	_	_	SpaceAfter=No
67	68	az	az	X	X	_	_	_	_	_
68	69	x	x	X	X	_	_	_	_	_
69	70	x	x	X	X	_	_	_	_	_
70	71	Ṭabi	Ṭabi	PROPN	PN	_	_	_	_	_
71	72	x	x	X	X	_	_	_	_	_
72	73	x	x	X	X	_	_	_	_	_
73	74	x	x	X	X	_	_	_	_	_
74	75	iqṭibûni	qabû	VERB	V	Gender=Masc|Person=3|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=G	_	_	_	_
75	1	issurri	issurri	ADV	ADV	_	4	advmod	_	_
76	2	šarru	šarru	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Nom	4	nsubj	_	_
77	3	bēlī	bēlu	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Nom|PossSuffNum=Sing|PossSuffPer=1|PossSuffGen=Com	2	appos	_	_
78	4	iqabbi	qabû	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Tense=Pres|Mood=Ind|VerbForm=Fin|VerbStem=G	_	_	_	_
79	5	mā	mā	PART	Quotative	_	_	_	_	_
80	6	x	x	X	X	_	_	_	_	_
81	7	x	x	X	X	_	_	_	_	_
82	8	x	x	X	X	_	_	_	_	_
83	9	x	x	X	X	_	_	_	_	_
84	10	x	x	X	X	_	_	_	_	_
85	11	x	x	X	X	_	_	_	_	SpaceAfter=No
87	13	i	i	X	_	_	_	_	_	_
