0	1	ša	ša	ADP	PRP	_	2	case	_	_
1	2	LUGAL	lugal	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	0	ROOT	_	_
2	3	be-li₂	be-li₂	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	_	_	_	_
3	4	iš-pur-an-ni	iš-pur-an-ni	NUM	VERB	_	3	nmod:poss	_	_
4	5	ma-a	ma-a	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x+x-MEŠ	x+x-meš	X	X	_	_	_	_	_
8	9	mu-hur-šu	mu-hur-šu	NOUN	NOUN	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	x	x	X	X	_	_	_	_	_
11	12	x	x	X	X	_	_	_	_	_
12	13	x+x	x+x	X	X	_	_	_	_	_
13	14	02	02	NUM	NUM	_	15	nummod	_	_
14	15	GIR₃-MEŠ	gir₃-meš	NOUN	NOUN	_	_	_	_	_
15	16	x	x	X	X	_	_	_	_	_
16	17	x	x	X	X	_	_	_	_	_
17	18	x	x	X	X	_	_	_	_	_
18	19	x	x	X	X	_	_	_	_	_
19	20	ša₂-kin₂	ša₂-kin₂	NOUN	NOUN	_	_	_	_	_
20	21	x	x	X	X	_	_	_	_	_
21	22	x	x	X	X	_	_	_	_	_
22	23	x	x	X	X	_	_	_	_	_
23	24	x	x	X	X	_	_	_	_	_
24	25	a-sa-ʾa-al-šu₂	a-sa-ʾa-al-šu₂	X	X	_	_	_	_	_
25	26	x	x	X	X	_	_	_	_	_
26	27	x	x	X	X	_	_	_	_	_
27	28	x	x	X	X	_	_	_	_	_
28	29	x	x	X	X	_	_	_	_	_
29	30	x	x	X	X	_	_	_	_	_
30	31	x	x	X	X	_	_	_	_	_
31	32	x	x	X	X	_	_	_	_	_
32	33	x	x	X	X	_	_	_	_	_
33	34	x	x	X	X	_	_	_	_	_
34	35	x	x	X	X	_	_	_	_	_
35	36	x	x	X	X	_	_	_	_	_
36	37	x	x	X	X	_	_	_	_	_
37	38	x	x	X	X	_	_	_	_	_
38	39	x	x	X	X	_	_	_	_	_
39	40	x	x	X	X	_	_	_	_	_
40	41	x	x	X	X	_	_	_	_	_
41	42	x	x	X	X	_	_	_	_	_
42	43	UD	ud	X	X	_	_	_	_	_
43	44	x-KAM₂	x-kam₂	ADJ	ADJ	_	_	_	_	_
44	45	a-ṣa-bat	a-ṣa-bat	X	ADV	_	_	_	_	_
45	46	x	x	X	X	_	_	_	_	_
46	47	x	x	X	X	_	_	_	_	_
47	48	x	x	X	X	_	_	_	_	_
48	49	x	x	X	X	_	_	_	_	_
49	50	ina	ina	ADP	PRP	_	51	case	_	_
50	51	kas-pi	kas-pi	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Plur	_	_	_	_
51	52	x	x	X	X	_	_	_	_	_
52	53	x	x	X	X	_	_	_	_	_
53	54	x	x	X	X	_	_	_	_	_
54	55	x	x	X	X	_	_	_	_	_
55	56	lid-din	lid-din	X	VERB	_	_	_	_	_
56	57	x	x	X	X	_	_	_	_	_
57	58	x	x	X	X	_	_	_	_	_
58	59	x	x	X	X	_	_	_	_	_
59	60	x-za-az	x-za-az	X	X	_	_	_	_	_
60	61	x	x	X	X	_	_	_	_	_
61	62	x	x	X	X	_	_	_	_	_
62	64	1}DUG₃.GA-i	1}dug₃.ga-i	PROPN	PN	Gender=Masc|Number=Sing	_	_	_	_
63	65	x	x	X	X	_	_	_	_	_
64	66	x	x	X	X	_	_	_	_	_
65	67	x	x	X	X	_	_	_	_	_
66	68	iq-ṭi-bu-u-ni	iq-ṭi-bu-u-ni	PROPN	VERB	Gender=Masc	_	_	_	_
67	69	is-su-ri	is-su-ri	VERB	V	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|Ventive=Yes|VerbForm=Fin|VerbStem=G	_	_	_	_
68	70	LUGAL	lugal	NOUN	N	Gender=Masc|Number=Plur	69	dep	_	_
69	71	be-li₂	be-li₂	NOUN	N	Gender=Fem|NounBase=Bound|Number=Sing	_	_	_	_
70	72	i-qa-bi	i-qa-bi	NUM	NUM	_	_	_	_	_
71	73	ma-a	ma-a	X	X	_	_	_	_	_
72	74	x	x	X	X	_	_	_	_	_
73	75	x	x	X	X	_	_	_	_	_
74	76	x	x	X	X	_	_	_	_	_
75	77	x	x	X	X	_	_	_	_	_
76	78	x	x	X	X	_	_	_	_	_
77	79	x-i	x-i	X	X	_	_	_	_	SpaceAfter=No
