0	1	abat	awātu	NOUN	NOUN	Gender=Fem|NounBase=Bound|Number=Sing|Case=Nom	0	ROOT	_	_
1	2	šarri	šarru	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	1	nmod	_	_
2	3	ana	ana	ADP	ADP	_	6	case	_	_
3	4	01	01	NUM	NUM	_	5	nummod	_	_
4	5	mē	meʾatu	NUM	NUM	_	6	nummod	_	_
5	6	urāsi	urāsu	NOUN	_	Gender=Masc|Number=Plur|Case=Gen	1	nmod	_	_
6	1	annurig	annûri	ADV	ADV	_	5	advmod	_	_
7	2	dullakunu	dullu	NOUN	N	Case=Acc|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=2	5	obj	_	_
8	3	ina	ina	ADP	PRP	_	4	case	_	_
9	4	Dur-Šarruken	dur-šarruken	PROPN	SN	Gender=Masc|Number=Sing|Case=Gen	5	obl	_	_
10	5	tugdammera	gamāru	VERB	VERB	Gender=Masc|Number=Plur|Person=2|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=D	0	ROOT	_	_
11	1	x	x	X	X	_	_	_	_	_
12	2	x	x	X	X	_	_	_	_	_
13	3	x	x	X	X	_	_	_	_	_
14	4	aladlammê	aladlammû	NOUN	NOUN	Gender=Masc	_	_	_	_
15	5	ina	ina	ADP	ADP	_	6	case	_	_
16	6	muhhikunu	muhhu	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Gen|PossSuffNum=Plur|PossSuffPer=2|PossSuffGen=Masc	_	_	_	_
17	7	x	x	X	X	_	_	_	_	_
18	8	x	x	X	X	_	_	_	_	_
19	1	kî	kī	ADP	ADP	_	2	case	_	_
20	2	ša	ša	PRON	PRON	_	_	_	_	_
21	3	qa	qa	ADP	ADP	_	_	_	_	SpaceAfter=No
23	5	li	li	X	X	_	_	_	_	SpaceAfter=No
25	7	x	x	X	X	_	_	_	_	_
26	8	x	x	X	X	_	_	_	_	_
27	9	x	x	X	X	_	_	_	_	_
28	10	attanūni	attunu	PRON	_	Gender=Masc|Number=Plur|Person=2|Case=Nom|SubSuff=Yes	_	_	_	_
29	11	x	x	X	X	_	_	_	_	_
30	12	x	x	X	X	_	_	_	_	_
31	13	x	x	X	X	_	_	_	_	_
32	14	annītu	annû	DET	_	Gender=Fem|Number=Sing	_	_	_	_
33	15	ta	ta	X	X	_	_	_	_	SpaceAfter=No
35	17	x	x	X	X	_	_	_	_	_
36	18	x	x	X	X	_	_	_	_	_
37	19	x	x	X	X	_	_	_	_	_
38	20	x	x	X	X	_	_	_	_	_
39	21	x	x	X	X	_	_	_	_	_
40	22	x+x	x+x	X	X	_	_	_	_	_
41	23	x	x	X	X	_	_	_	_	_
42	24	x	x	X	X	_	_	_	_	_
43	25	x	x	X	X	_	_	_	_	_
44	26	x	x	X	X	_	_	_	_	_
45	27	zakkû	zakkû	NOUN	VERB	Gender=Masc	_	_	_	_
46	28	x	x	X	X	_	_	_	_	_
47	29	x	x	X	X	_	_	_	_	_
48	30	x	x	X	X	_	_	_	_	_
49	31	x	x	X	X	_	_	_	_	_
50	32	ta	ta	X	X	_	_	_	_	_
51	33	x	x	X	X	_	_	_	_	_
52	34	nu	nu	X	X	_	_	_	_	_
53	35	x+x	x+x	X	X	_	_	_	_	_
54	36	x	x	X	X	_	_	_	_	_
55	37	x	x	X	X	_	_	_	_	_
56	38	x	x	X	X	_	_	_	_	_
57	39	x	x	X	X	_	_	_	_	_
58	40	x	x	X	X	_	_	_	_	_
59	41	šarri	šarru	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Gen	_	_	_	_
60	42	x	x	X	X	_	_	_	_	_
61	43	x	x	X	X	_	_	_	_	_
62	44	x	x	X	X	_	_	_	_	_
63	45	likalka	alāku	VERB	VERB	Gender=Masc|Number=Plur|Person=2|Mood=Imp|VerbStem=G	_	_	_	_
64	46	ana	ana	ADP	ADP	_	47	case	_	_
65	47	maṣṣarti	maṣṣartu	NOUN	NOUN	Case=Gen|Gender=Fem|Number=Sing	_	_	_	_
66	48	ša	ša	PRON	_	_	49	case	_	_
67	49	x	x	X	_	_	47	nmod	_	_
68	50	Mat-Aššur	mat-aššur	PROPN	GN	Gender=Masc	49	nmod	_	_
69	51	itissa	izuzzu	VERB	_	Gender=Masc|Number=Plur|Person=2|Mood=Imp|VerbStem=G	_	_	_	_
