0	1	LUGAL	lugal	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	2	x	x	X	X	_	_	_	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	ša	ša	ADP	PRP	_	10	case	_	_
9	10	LUGAL	lugal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Plur	_	_	_	_
10	11	x	x	X	X	_	_	_	_	_
11	12	x	x	X	X	_	_	_	_	_
12	13	x	x	X	X	_	_	_	_	_
13	14	x	x	X	X	_	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	16	x	x	X	X	_	_	_	_	_
16	17	ma-a	ma-a	X	X	_	_	_	_	_
17	19	1}HAL-ni-aš-šur	1}hal-ni-aš-šur	PROPN	PN	_	_	_	_	_
18	20	x	x	X	X	_	_	_	_	_
19	21	x	x	X	X	_	_	_	_	_
20	22	x	x	X	X	_	_	_	_	_
21	23	x	x	X	X	_	_	_	_	_
22	24	ma-a	ma-a	X	X	_	_	_	_	_
23	26	ANŠE}KUR.RA-MEŠ	anše}kur.ra-meš	X	X	_	_	_	_	_
24	27	x	x	X	X	_	_	_	_	_
25	28	x	x	X	X	_	_	_	_	_
26	29	x	x	X	X	_	_	_	_	_
27	30	x	x	X	X	_	_	_	_	_
28	31	EN.NUN	en.nun	ADJ	n	_	_	_	_	_
29	32	iṣ-x	iṣ-x	X	X	_	_	_	_	_
30	33	x	x	X	X	_	_	_	_	_
31	34	x	x	X	X	_	_	_	_	_
32	35	x	x	X	X	_	_	_	_	_
33	36	x	x	X	X	_	_	_	_	_
34	37	ma-a	ma-a	X	X	_	_	_	_	_
35	38	i-x	i-x	X	X	_	_	_	_	_
36	39	x	x	X	X	_	_	_	_	_
37	40	x	x	X	X	_	_	_	_	_
38	41	x	x	X	X	_	_	_	_	_
39	42	x	x	X	X	_	_	_	_	_
40	43	x	x	X	X	_	_	_	_	_
41	44	i-la-x	i-la-x	X	X	_	_	_	_	_
42	45	x	x	X	X	_	_	_	_	_
43	46	x	x	X	X	_	_	_	_	_
44	47	x	x	X	X	_	_	_	_	_
45	48	x	x	X	X	_	_	_	_	_
46	49	x	x	X	X	_	_	_	_	_
47	50	x	x	X	X	_	_	_	_	_
48	52	KUR}ru-qa-ha-a.a	kur}ru-qa-ha-a.a	PROPN	X	Gender=Masc|Number=Sing	_	_	_	_
49	53	x	x	X	X	_	_	_	_	_
50	54	x	x	X	X	_	_	_	_	_
51	55	x	x	X	X	_	_	_	_	_
52	56	x	x	X	X	_	_	_	_	_
53	57	EN.NUN	en.nun	ADJ	n	_	_	_	_	_
54	58	x	x	X	X	_	_	_	_	_
55	59	x	x	X	X	_	_	_	_	_
56	60	x	x	X	X	_	_	_	_	_
57	61	x	x	X	X	_	_	_	_	_
58	62	x	x	X	X	_	_	_	_	_
59	63	x	x	X	X	_	_	_	_	_
60	64	x	x	X	X	_	_	_	_	_
61	65	ina	ina	ADP	PRP	_	66	case	_	_
62	66	pa-an	pa-an	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
63	67	x	x	X	X	_	_	_	_	_
64	68	x	x	X	X	_	_	_	_	_
65	69	x	x	X	X	_	_	_	_	_
66	70	x	x	X	X	_	_	_	_	_
67	71	x	x	X	X	_	_	_	_	_
68	72	x	x	X	X	_	_	_	_	_
69	73	x	x	X	X	_	_	_	_	SpaceAfter=No
