0	1	a-na	a-na	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
1	2	LUGAL	lugal	ADV	RP	_	1	conj	_	_
2	3	EN-ia	en-ia	ADV	N	_	_	_	_	_
3	4	u₂-se-bi-la	u₂-se-bi-la	NOUN	NOUN	Gender=Masc|Number=Sing	3	nmod:poss	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	ina	ina	ADP	PRP	_	8	case	_	_
7	8	UGU	ugu	X	X	_	_	_	_	_
8	10	LU₂}x	lu₂}x	NOUN	NOUN	_	_	_	_	_
9	11	x	x	X	X	_	_	_	_	_
10	12	x	x	X	X	_	_	_	_	_
11	13	ša	ša	ADP	PRP	_	_	_	_	_
12	15	1}MAN-x	1}man-x	VERB	NOUN	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|Ventive=Yes|VerbForm=Fin|VerbStem=Š	_	_	_	_
13	16	x	x	X	X	_	_	_	_	_
14	17	x	x	X	X	_	_	_	_	_
15	18	x	x	X	X	_	_	_	_	_
16	19	ša	ša	ADP	PRP	_	20	case	_	_
17	20	LUGAL	lugal	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Masc|PossSuffNum=Plur|PossSuffPer=3	_	_	_	_
18	21	be-li₂	be-li₂	NOUN	N	Gender=Masc|NounBase=Bound|Number=Sing	_	_	_	_
19	22	iš-pur-an-ni	iš-pur-an-ni	NUM	VERB	_	21	nmod:poss	_	_
20	23	ma-a	ma-a	ADP	X	_	_	_	_	_
21	24	a-ta-a	a-ta-a	X	X	_	_	_	_	_
22	25	la	la	X	X	_	26	advmod	_	_
23	26	il-li-ka	il-li-ka	NOUN	N	_	_	_	_	_
24	27	u₂-ma	u₂-ma	VERB	WN	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|Ventive=Yes|VerbForm=Fin|VerbStem=D	26	nmod:poss	_	_
25	28	an-nu-rig	an-nu-rig	ADV	ADV	_	32	advmod	_	_
26	29	ina	ina	ADP	PRP	_	30	case	_	_
27	30	UGU	ugu	PROPN	u	_	32	obl	_	_
28	31	LUGAL	lugal	NOUN	u	Case=Gen|Gender=Masc|Number=Sing|PossSuffNum=Plur|PossSuffPer=3	30	nmod:poss	_	_
29	32	EN-ia	en-ia	NOUN	V	Gender=Fem|NounBase=Bound|Number=Sing	_	_	_	_
30	33	u₂-se-bi-la-šu	u₂-se-bi-la-šu	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=D	32	nmod:poss	_	SpaceAfter=No
