0	1	ša	ša	PRON	PRON	_	4	obj	_	_
1	2	šarru	šarru	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Sing	4	nsubj	_	_
2	3	bēlī	bēlu	NOUN	NOUN	Case=Nom|Gender=Masc|Number=Sing|PossSuffNum=Sing|PossSuffPer=1	2	appos	_	_
3	4	iqbûni	qabû	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|SubSuff=Yes|Subordinative=Yes|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
4	5	mā	mā	PART	Quotative	_	_	_	_	_
5	6	issišunu	išti	PRON	PRON	PrepSuffNum=Plur|PresSuffPer=3|PrepSuffGen=Masc	_	_	_	_
6	7	lū	lū	PART	PART	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	mā	mā	PART	Quotative	_	_	_	_	_
11	12	maqtu	maqtu	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Nom	_	_	_	_
12	13	x	x	X	X	_	_	_	_	_
13	14	x	x	X	X	_	_	_	_	_
14	1	x	x	X	X	_	_	_	_	_
15	2	lā	lā	PART	PART	_	3	advmod	_	_
16	3	immagguru	magāru	VERB	VERB	Gender=Masc|Number=Plur|Person=3|Tense=Pres|Mood=Ind|VerbForm=Fin|VerbStem=N	_	_	_	_
17	4	lā	lā	PART	PART	_	_	_	_	_
18	5	x	x	X	X	_	_	_	_	_
19	6	x	x	X	X	_	_	_	_	_
20	7	x	x	X	X	_	_	_	_	_
21	8	kīma	kīma	SCONJ	_	_	_	_	_	_
22	9	ṣābāni	ṣābu	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
23	10	x	x	X	X	_	_	_	_	_
24	11	x	x	X	X	_	_	_	_	_
25	12	x	x	X	X	_	_	_	_	_
26	13	x	x	X	X	_	_	_	_	_
