0	1	hannīša	annîša	ADV	NOUN	Case=Nom|Gender=Masc|Number=Sing	0	ROOT	_	_
1	2	x	x	X	X	_	_	_	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	Puqudaya	puqudaya	PROPN	PROPN	_	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	x	x	X	X	_	_	_	_	_
11	12	u	u	CONJ	CNJ	_	_	_	_	_
12	13	issu	ištu	ADP	ADP	_	14	case	_	_
13	14	pāni	pānu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Plur	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	16	x	x	X	X	_	_	_	_	_
16	17	x	x	X	X	_	_	_	_	_
17	18	x	x	X	X	_	_	_	_	_
18	19	x	x	X	X	_	_	_	_	_
19	20	x	x	X	X	_	_	_	_	_
20	1	ūmâ	ūma	ADV	ADV	_	_	_	_	_
21	2	ina	ina	ADP	ADP	_	4	case	_	_
23	4	URU}x+x	uru}x+x	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	0	ROOT	_	_
24	5	x	x	X	X	_	_	_	_	_
25	6	x	x	X	X	_	_	_	_	_
26	7	x	x	X	X	_	_	_	_	_
27	8	x	x	X	X	_	_	_	_	_
28	9	ina	ina	ADP	ADP	_	10	case	_	_
29	10	pānikunu	pānu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing|PossSuffNum=Plur|PossSuffPer=2|PossSuffGen=Masc	4	conj	_	_
30	11	šû	šū	PRON	PRON	Case=Nom|Gender=Masc|Number=Sing|Person=3	4	nsubj	_	_
31	1	x	x	X	X	_	_	_	_	_
32	2	x	x	X	X	_	_	_	_	_
33	3	x	x	X	X	_	_	_	_	_
34	4	x	x	X	X	_	_	_	_	_
35	5	x	x	X	X	_	_	_	_	_
36	1	ūmâ	ūma	ADV	ADV	_	3	advmod	_	_
37	2	annurig	annûri	ADV	ADV	_	1	fixed	_	_
