0	1	Ariye	ariye	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
1	1	x	x	X	X	_	_	_	_	_
2	2	x	x	X	X	_	_	_	_	_
3	3	x	x	X	X	_	_	_	_	_
4	4	x	x	X	X	_	_	_	_	_
5	5	x	x	X	X	_	_	_	_	_
6	6	dāmē	dāmu	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
7	7	ša	ša		X	_	_	_	_	_
8	8	x	x	X	X	_	_	_	_	_
9	9	x	x	X	X	_	_	_	_	_
10	10	x	x	X	X	_	_	_	_	_
11	11	x	x	X	X	_	_	_	_	_
12	12	x	x	X	X	_	_	_	_	_
13	13	ša	ša		ADP	_	14	case	_	_
14	14	urdi	ardu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
15	15	x	x	X	X	_	_	_	_	_
16	16	x	x	X	X	_	_	_	_	_
17	17	x	x	X	X	_	_	_	_	_
18	18	x	x	X	X	_	_	_	_	_
19	19	x	x	X	X	_	_	_	_	_
20	20	ina	ina	ADP	ADP	_	21	case	_	_
21	21	Mannaya	mannaya	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
22	22	x	x	X	X	_	_	_	_	_
23	23	x	x	X	X	_	_	_	_	_
24	24	x	x	X	X	_	_	_	_	_
25	25	x	x	X	X	_	_	_	_	_
26	26	ina	ina	ADP	ADP	_	27	case	_	_
27	27	libbi	libbu	NOUN	NOUN	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
28	28	ilāni	ilu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Plur	27	nmod	_	_
29	29	ša	ša		ADP	_	30	case	_	_
30	30	šarri	šarru	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	28	nmod	_	_
31	31	bēlīya	bēlu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	30	appos	_	_
32	32	01	01	NUM	NUM	_	33	nummod	_	_
33	33	mē	meʾatu	NUM	NUM	_	_	_	_	_
34	34	90	90	NUM	NUM	_	33	conj	_	_
35	35	ma	ma	X	X	_	_	_	_	_
36	36	x+x	x+x	X	X	_	_	_	_	_
37	37	x	x	X	X	_	_	_	_	_
38	38	x	x	X	X	_	_	_	_	_
39	39	x	x	X	X	_	_	_	_	_
40	40	x	x	X	X	_	_	_	_	_
41	41	x	x	X	X	_	_	_	_	_
