0	1	02	02	NUM	NUM	_	2	nummod	_	_
1	2	līmu	līm	NUM	NU	_	4	nummod	_	_
3	4	GIŠ}x	giš}x	NOUN	N	Number=Plur	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	05	05	NUM	NUM	_	10	nummod	_	_
9	10	mē	meʾatu	NUM	NU	_	11	nummod	_	_
10	11	gušūrī	gušūru	NOUN	N	Case=Gen|Gender=Masc|Number=Plur	_	_	_	_
11	12	x	x	X	X	_	_	_	_	_
12	13	x	x	X	X	_	_	_	_	_
13	14	pāniumma	pānû	ADJ	AJ	Gender=Fem|Number=Sing	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	16	x	x	X	X	_	_	_	_	_
16	17	x	x	X	X	_	_	_	_	_
17	18	x	x	X	X	_	_	_	_	_
18	19	uqarrabūni	qerēbu	VERB	VERB	Tense=Pres|Mood=Ind|VerbForm=Fin|VerbStem=D	_	_	_	_
19	20	x	x	X	X	_	_	_	_	_
20	21	x	x	X	X	_	_	_	_	_
21	22	x	x	X	X	_	_	_	_	_
22	23	kīma	kīma	ADP	PRP	_	_	_	_	_
23	24	a-x	a-x	X	X	_	_	_	_	_
24	25	x	x	X	X	_	_	_	_	_
25	26	x	x	X	X	_	_	_	_	_
26	27	x	x	X	X	_	_	_	_	_
27	28	x	x	X	X	_	_	_	_	_
28	29	i-tal-x	i-tal-x	X	X	_	_	_	_	_
29	30	x	x	X	X	_	_	_	_	_
30	31	x	x	X	X	_	_	_	_	_
31	32	x	x	X	X	_	_	_	_	_
32	33	x	x	X	X	_	_	_	_	_
33	34	x	x	X	X	_	_	_	_	_
34	35	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
35	36	x	x	X	X	_	_	_	_	_
36	37	x	x	X	X	_	_	_	_	_
37	38	x	x	X	X	_	_	_	_	_
38	39	x	x	X	X	_	_	_	_	_
39	40	lēriš	erēšu	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Mood=Prec|VerbStem=G|Ventive=Yes	_	_	_	_
40	1	x	x	X	X	_	_	_	_	_
41	2	x	x	X	X	_	_	_	_	_
42	3	x	x	X	X	_	_	_	_	_
43	4	x	x	X	X	_	_	_	_	_
44	5	x	x	X	X	_	_	_	_	_
45	6	šarru	šarru	NOUN	N	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
46	7	bēlī	bēlu	NOUN	N	Case=Nom|Gender=Masc|Number=Sing|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	6	appos	_	_
47	8	x	x	X	X	_	_	_	_	_
48	9	x	x	X	X	_	_	_	_	_
49	10	x	x	X	X	_	_	_	_	_
50	11	x	x	X	X	_	_	_	_	_
51	12	mā	mā	PART	Quotative	_	_	_	_	_
53	14	GIŠ}x+x	giš}x+x	NOUN	N	Gender=Masc|Number=Sing	_	_	_	_
54	15	x	x	X	X	_	_	_	_	_
55	16	x	x	X	X	_	_	_	_	_
56	17	x	x	X	X	_	_	_	_	_
57	18	arhiš	arhiš	ADV	AV	_	_	_	_	_
58	19	x	x	X	X	_	_	_	_	_
59	20	x	x	X	X	_	_	_	_	_
60	21	x	x	X	X	_	_	_	_	_
61	22	x	x	X	X	_	_	_	_	_
62	23	mê	mû	NOUN	N	Case=Nom|Gender=Masc|Number=Plur	25	nsubj	_	_
63	24	ina	ina	ADP	PRP	_	25	case	_	_
64	25	nāri	nāru	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
65	26	x	x	X	X	_	_	_	_	_
66	27	x	x	X	X	_	_	_	_	_
67	28	x	x	X	X	_	_	_	_	_
