0	1	02	02	NUM	NUM	_	2	nummod	_	_
1	2	lim	lim	NOUN	NOUN	Case=Nom|Gender=Masc|NounStem=Bound|Number=Sing	0	ROOT	_	_
2	4	GIŠ}x	giš}x	X	X	_	_	_	_	_
3	5	x	x	X	X	_	_	_	_	_
4	6	x	x	X	X	_	_	_	_	_
5	7	x	x	X	X	_	_	_	_	_
6	8	x	x	X	X	_	_	_	_	_
7	9	05	05	NUM	NUM	_	10	nummod	_	_
8	10	me	me	X	X	_	_	_	_	_
9	12	GIŠ}UR₃-MEŠ	giš}ur₃-meš	X	X	_	_	_	_	_
10	13	x	x	X	X	_	_	_	_	_
11	14	x	x	X	X	_	_	_	_	_
12	15	pa-ni-um-ma	pa-ni-um-ma	PROPN	SN	_	_	_	_	_
13	16	x	x	X	X	_	_	_	_	_
14	17	x	x	X	X	_	_	_	_	_
15	18	x	x	X	X	_	_	_	_	_
16	19	x	x	X	X	_	_	_	_	_
17	20	u₂-qa-ra-bu-ni	u₂-qa-ra-bu-ni	X	VERB	_	_	_	_	_
18	21	x	x	X	X	_	_	_	_	_
19	22	x	x	X	X	_	_	_	_	_
20	23	x	x	X	X	_	_	_	_	_
21	24	ki-ma	ki-ma	NOUN	NOUN	_	_	_	_	_
22	25	a-x	a-x	X	X	_	_	_	_	_
23	26	x	x	X	X	_	_	_	_	_
24	27	x	x	X	X	_	_	_	_	_
25	28	x	x	X	X	_	_	_	_	_
26	29	x	x	X	X	_	_	_	_	_
27	30	i-tal-x	i-tal-x	ADP	ADP	_	_	_	_	_
28	31	x	x	X	X	_	_	_	_	_
29	32	x	x	X	X	_	_	_	_	_
30	33	x	x	X	X	_	_	_	_	_
31	34	x	x	X	X	_	_	_	_	_
32	35	x	x	X	X	_	_	_	_	_
33	36	LUGAL	lugal	X	VERB	_	_	_	_	_
34	37	x	x	X	X	_	_	_	_	_
35	38	x	x	X	X	_	_	_	_	_
36	39	x	x	X	X	_	_	_	_	_
37	40	x	x	X	X	_	_	_	_	_
38	41	le-riš	le-riš	NUM	X	_	_	_	_	_
39	42	x	x	X	X	_	_	_	_	_
40	43	x	x	X	X	_	_	_	_	_
41	44	x	x	X	X	_	_	_	_	_
42	45	x	x	X	X	_	_	_	_	_
43	46	x	x	X	X	_	_	_	_	_
44	47	LUGAL	lugal	VERB	NOUN	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|VerbStem=D	_	_	_	_
45	48	be-li₂	be-li₂	NOUN	N	Gender=Fem|Number=Sing|PossSuffNum=Sing|PossSuffPer=1	_	_	_	_
46	49	x	x	X	X	_	_	_	_	_
47	50	x	x	X	X	_	_	_	_	_
48	51	x	x	X	X	_	_	_	_	_
49	52	x	x	X	X	_	_	_	_	_
50	53	ma-a	ma-a	X	X	_	_	_	_	_
51	55	GIŠ}x+x	giš}x+x	PROPN	SN	Gender=Masc|Number=Sing	_	_	_	_
52	56	x	x	X	X	_	_	_	_	_
53	57	x	x	X	X	_	_	_	_	_
54	58	x	x	X	X	_	_	_	_	_
55	59	ar-hi-iš	ar-hi-iš	NOUN	NOUN	_	_	_	_	_
56	60	x	x	X	X	_	_	_	_	_
57	61	x	x	X	X	_	_	_	_	_
58	62	x	x	X	X	_	_	_	_	_
59	63	x	x	X	X	_	_	_	_	_
60	64	A-MEŠ	a-meš	X	X	_	_	_	_	_
61	65	ina	ina	ADP	PRP	_	66	case	_	_
62	66	ID₂	id₂	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
63	67	x	x	X	X	_	_	_	_	_
64	68	x	x	X	X	_	_	_	_	_
65	69	x	x	X	X	_	_	_	_	SpaceAfter=No
