0	1	ma-a	ma-a	ADP	ADP	_	0	ROOT	_	_
1	3	URU}x-x-a.a	uru}x-x-a.a	NOUN	PN	_	_	_	_	_
2	4	i-sa-ap-ra	i-sa-ap-ra	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|Ventive=Yes|VerbForm=Fin|VerbStem=G	_	_	_	_
3	5	ma-a	ma-a	ADP	X	_	_	_	_	_
4	7	KUR}hu-buš-ka-a.a	kur}hu-buš-ka-a.a	PROPN	NOUN	Case=Gen|Gender=Masc|Number=Sing	8	obj	_	_
5	8	a-na	a-na	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
6	10	URU}x+x	uru}x+x	PROPN	SN	Gender=Masc|Number=Sing	_	_	_	_
7	11	x	x	X	X	_	_	_	_	_
8	12	x	x	X	X	_	_	_	_	_
9	13	x	x	X	X	_	_	_	_	_
10	14	iq-ṭa-ra-bu-u-ni	iq-ṭa-ra-bu-u-ni	VERB	VERB	Gender=Com|Mood=Ind|Number=Plur|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	_
11	15	UD	ud	X	X	_	14	conj	_	_
12	16	14-KAM₂	14-kam₂	ADJ	ADJ	_	_	_	_	_
13	18	1}x	1}x	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
14	19	x	x	X	X	_	_	_	_	_
15	20	x	x	X	X	_	_	_	_	_
16	22	LU₂}02-u₂	lu₂}02-u₂	X	X	_	_	_	_	_
17	23	a-na	a-na	X	VERB	_	_	_	_	_
18	24	x	x	X	X	_	_	_	_	_
19	25	x	x	X	X	_	_	_	_	_
20	26	x	x	X	X	_	_	_	_	_
21	27	a-sa-ap-ra	a-sa-ap-ra	X	X	_	_	_	_	_
22	28	o	o	X	X	_	_	_	_	SpaceAfter=No
