0	1	E₂	e₂	PROPN	TN	_	0	ROOT	_	_
1	2	x	x	X	u	_	_	_	_	_
2	3	ANŠE	anše	PROPN	RN	_	_	_	_	_
3	4	A.ŠA₃	a.ša₃	PROPN	N	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	ab-ta-taq	ab-ta-taq	PROPN	VERB	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	x	x	X	X	_	_	_	_	_
11	12	a-ta-na-aš₂-ši-na	a-ta-na-aš₂-ši-na	PROPN	X	Gender=Masc|Number=Sing	_	_	_	_
12	13	x	x	X	X	_	_	_	_	_
13	14	x	x	X	X	_	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	17	ŠE}NUMUN-MEŠ-ši-na	še}numun-meš-ši-na	NOUN	u	Gender=Masc|Number=Sing	_	_	_	_
16	18	me-me-ni	me-me-ni	ADJ	AJ	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
17	19	ina	ina	ADP	PRP	_	20	case	_	_
18	20	ŠA₃-bi	ša₃-bi	PROPN	PROPN	Case=Gen|Gender=Masc|Number=Sing	21	obl	_	_
19	21	la-a-šu	la-a-šu	PROPN	VERB	_	_	_	_	_
20	22	x	x	X	X	_	_	_	_	_
21	23	x	x	X	X	_	_	_	_	_
22	24	01	01	NUM	NUM	_	25	nummod	_	_
23	25	me	me	X	X	_	_	_	_	_
24	27	ŠE}PAD-MEŠ	še}pad-meš	PROPN	PN	Gender=Masc|Number=Sing	_	_	_	_
25	28	x	x	X	X	_	_	_	_	_
26	29	x	x	X	X	_	_	_	_	_
27	30	x	x	X	X	_	_	_	_	_
28	31	ku-um	ku-um	NOUN	NOUN	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
29	33	ŠE}NUMUN-MEŠ-ši-na	še}numun-meš-ši-na	VERB	VERB	Gender=Masc|Mood=Ind|Number=Plur|Person=3|VerbForm=Stat|VerbStem=D	_	_	_	_
30	34	i-ti-ši-a	i-ti-ši-a	PROPN	X	_	_	_	_	_
31	35	o	o	X	X	_	_	_	_	_
32	36	x	x	X	X	_	_	_	_	_
33	37	x+x	x+x	X	X	_	_	_	_	_
34	38	ina	ina	ADP	PRP	_	_	_	_	_
35	40	URU}za-ban	uru}za-ban	PROPN	X	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
36	41	x	x	X	X	_	_	_	_	_
37	42	x	x	X	X	_	_	_	_	_
38	43	x	x	X	X	_	_	_	_	_
39	44	ina	ina	ADP	PRP	_	45	case	_	_
40	45	qa-an-ni	qa-an-ni	NOUN	X	_	_	_	_	_
41	46	x	x	X	X	_	_	_	_	_
42	47	x	x	X	X	_	_	_	_	_
43	48	x	x	X	X	_	_	_	_	_
44	49	x	x	X	X	_	_	_	_	_
45	50	x	x	X	X	_	_	_	_	_
46	51	DUMU.MI₂	dumu.mi₂	X	X	_	_	_	_	_
47	52	x	x	X	X	_	_	_	_	_
48	53	x	x	X	X	_	_	_	_	_
49	54	x	x	X	X	_	_	_	_	_
50	55	x	x	X	X	_	_	_	_	_
51	56	x	x	X	X	_	_	_	_	_
52	57	a-ta-na-x	a-ta-na-x	X	X	_	_	_	_	_
53	58	x	x	X	X	_	_	_	_	_
54	59	x	x	X	X	_	_	_	_	_
55	60	x	x	X	X	_	_	_	_	_
56	61	x	x	X	X	_	_	_	_	_
57	62	x+x	x+x	X	X	_	_	_	_	_
58	63	x+x	x+x	X	X	_	_	_	_	_
59	64	x	x	X	X	_	_	_	_	_
60	65	x	x	X	X	_	_	_	_	_
61	66	x	x	X	X	_	_	_	_	_
62	67	x	x	X	X	_	_	_	_	_
63	68	x	x	X	X	_	_	_	_	SpaceAfter=No
