0	1	muhhi	muhhu	NOUN	N	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
1	2	{LU₂}x+x	{lu₂}x+x	NOUN	N	Gender=Masc|Number=Sing|Case=Gen	1	nmod	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	tillī	tillu	NOUN	N	Case=Acc|Gender=Masc|Number=Plur	_	_	_	_
7	8	ana	ana	ADP	PRP	_	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	x	x	X	X	_	_	_	_	_
11	12	x	x	X	X	_	_	_	_	_
12	13	ša-qurbūte	ša-qurbūti	NOUN	N	_	_	_	_	_
13	14	x	x	X	X	_	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	16	x	x	X	X	_	_	_	_	_
16	17	x	x	X	X	_	_	_	_	_
17	18	issi	išti	ADP	PRP	_	19	case	_	_
18	19	šanie	šanû	NUM	NU	Case=Gen|Gender=Masc|Number=Plur	_	_	_	_
19	20	x	x	X	X	_	_	_	_	_
20	21	x	x	X	X	_	_	_	_	_
21	22	x	x	X	X	_	_	_	_	_
22	23	x	x	X	X	_	_	_	_	_
23	24	ittalkūni	alāku	VERB	VERB	Gender=Masc|Number=Plur|Person=3|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=G|Ventive=Yes	_	_	_	_
24	1	x	x	X	X	_	_	_	_	_
25	2	x	x	X	X	_	_	_	_	_
26	3	x	x	X	X	_	_	_	_	_
27	4	x	x	X	X	_	_	_	_	_
28	5	iššûni	našû	VERB	VERB	Gender=Masc|Number=Plur|Person=3|Tense=Past|Mood=Ind|VerbForm=Fin|VerbStem=G|Ventive=Yes	_	_	_	_
29	1	x	x	X	X	_	_	_	_	_
30	2	x	x	X	X	_	_	_	_	_
31	3	x	x	X	X	_	_	_	_	_
32	4	x	x	X	X	_	_	_	_	_
33	5	x	x	X	X	_	_	_	_	_
34	6	ša	ša		X	_	_	_	_	_
35	7	i-x	i-x	X	X	_	_	_	_	_
36	8	x	x	X	X	_	_	_	_	_
37	9	x	x	X	X	_	_	_	_	_
38	10	x	x	X	X	_	_	_	_	_
39	11	x	x	X	X	_	_	_	_	_
40	12	x	x	X	X	_	_	_	_	_
41	13	sissê	sisû	NOUN	N	Gender=Masc|Number=Plur	_	_	_	_
42	14	x	x	X	X	_	_	_	_	_
43	15	x	x	X	X	_	_	_	_	_
44	16	x	x	X	X	_	_	_	_	_
45	17	x	x	X	X	_	_	_	_	_
46	18	x	x	X	X	_	_	_	_	_
47	19	an	an	X	X	_	_	_	_	_
48	20	x	x	X	X	_	_	_	_	_
49	21	x	x	X	X	_	_	_	_	_
50	22	x	x	X	X	_	_	_	_	_
51	23	x	x	X	X	_	_	_	_	_
52	24	x	x	X	X	_	_	_	_	_
53	25	x	x	X	X	_	_	_	_	_
54	26	x	x	X	X	_	_	_	_	_
55	27	i-x	i-x	X	X	_	_	_	_	_
56	28	x	x	X	X	_	_	_	_	_
57	29	x	x	X	X	_	_	_	_	_
58	30	x	x	X	X	_	_	_	_	_
59	31	x	x	X	X	_	_	_	_	_
60	32	x	x	X	X	_	_	_	_	_
61	33	x	x	X	X	_	_	_	_	_
62	34	la	la	X	X	_	_	_	_	_
63	35	x	x	X	X	_	_	_	_	_
64	36	x	x	X	X	_	_	_	_	_
65	37	x	x	X	X	_	_	_	_	_
66	38	x	x	X	X	_	_	_	_	_
67	39	x	x	X	X	_	_	_	_	_
68	40	x	x	X	X	_	_	_	_	_
69	41	x	x	X	X	_	_	_	_	_
70	42	a-ki	a-ki	X	X	_	_	_	_	_
71	43	x	x	X	X	_	_	_	_	_
72	44	x	x	X	X	_	_	_	_	_
73	45	x	x	X	X	_	_	_	_	_
74	46	x	x	X	X	_	_	_	_	_
75	47	x	x	X	X	_	_	_	_	_
76	48	x	x	X	X	_	_	_	_	_
77	49	ak	ak	X	X	_	_	_	_	_
78	50	x	x	X	X	_	_	_	_	_
79	51	x	x	X	X	_	_	_	_	_
80	52	x	x	X	X	_	_	_	_	_
81	53	x	x	X	X	_	_	_	_	_
82	54	x	x	X	X	_	_	_	_	_
83	55	x	x	X	X	_	_	_	_	_
84	56	x	x	X	X	_	_	_	_	_
85	57	x+x	x+x	X	X	_	_	_	_	_
86	58	x	x	X	X	_	_	_	_	_
87	59	x	x	X	X	_	_	_	_	_
88	60	x	x	X	X	_	_	_	_	_
89	61	x	x	X	X	_	_	_	_	_
90	62	x	x	X	X	_	_	_	_	_
91	63	x	x	X	X	_	_	_	_	_
92	64	x	x	X	X	_	_	_	_	_
