0	1	issurri	issurri	ADV	AV	_	8	advmod	_	_
1	2	{LU₂}x	{lu₂}x	NOUN	N	Gender=Masc|Number=Plur|Case=Nom	8	nsubj	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	ša	ša	ADP	PRP	_	6	case	_	_
5	6	Hubuškia	hubuškia	PROPN	GN	Case=Gen|Gender=Masc|Number=Sing	2	nmod	_	_
6	7	issīya	išti	ADP	PRP	PrepSuffGen=Com|PrepSuffNum=Sing|PresSuffPer=1	8	obl	_	_
7	8	illakūni	alāku	VERB	VERB	Gender=Masc|Number=Plur|Person=3|Tense=Pres|Mood=Ind|VerbForm=Fin|VerbStem=G|Ventive=Yes	0	ROOT	_	_
8	1	x	x	X	X	_	_	_	_	_
9	2	x	x	X	X	_	_	_	_	_
10	3	x	x	X	X	_	_	_	_	_
11	4	issu	ištu	ADP	PRP	_	_	_	_	_
12	5	x+x	x+x	X	X	_	_	_	_	_
13	6	x	x	X	X	_	_	_	_	_
14	7	x	x	X	X	_	_	_	_	_
15	8	x	x	X	X	_	_	_	_	_
