0	1	ina	ina	ADP	PRP	_	2	case	_	_
1	2	muhhi	muhhu	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	0	ROOT	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	ūm	ūmu	NOUN	N	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	10	obl	_	_
7	8	20-KAM	20-kam	ADJ	ADJ	Case=Gen|Gender=Masc|Number=Sing	7	amod	_	_
8	9	zīnu	zinnu	NOUN	N	Case=Nom|Gender=Masc|Number=Sing	10	nsubj	_	_
9	10	ussarria	šurrû	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=D|Ventive=Yes	_	_	_	_
10	1	02	02	NUM	NUM	_	2	nummod	_	_
11	2	ūmāti	ūmu	NOUN	N	Gender=Fem|Number=Plur	4	obl	_	_
12	3	maʾda	mādu	ADJ	AJ	_	4	advmod	_	_
13	4	izzunun	zanānu	VERB	VERB	Gender=Masc|Number=Sing|Person=3|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
14	1	pisannu	pišannu	NOUN	N	Gender=Masc|Number=Sing	_	_	_	_
15	2	x	x	X	X	_	_	_	_	_
16	3	x+x	x+x	X	X	_	_	_	_	_
17	4	x	x	X	X	_	_	_	_	_
18	5	x	x	X	X	_	_	_	_	_
