0	1	ina	ina	ADP	PRP	_	2	case	_	_
1	2	UGU	ugu	X	X	_	0	ROOT	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	UD	ud	X	X	_	_	_	_	_
7	8	20-KAM	20-kam	ADJ	ADJ	_	7	amod	_	_
8	9	zi-i-nu	zi-i-nu	NOUN	N	Case=Acc|Gender=Masc|Number=Plur	10	obj	_	_
9	10	u₂-sa-ri-ia	u₂-sa-ri-ia	NOUN	V	Case=Nom|Gender=Masc|Number=Plur	_	_	_	_
10	11	02	02	NUM	NUM	_	12	nummod	_	_
11	12	UD-MEŠ	ud-meš	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	10	conj	_	_
12	13	ma-aʾ-da	ma-aʾ-da	NOUN	N	_	_	_	_	_
13	14	i-zu-nu-un	i-zu-nu-un	X	u	_	_	_	_	_
14	16	GIŠ}pi-sa-nu	giš}pi-sa-nu	PROPN	X	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
15	17	x	x	X	X	_	_	_	_	_
16	18	x+x	x+x	X	X	_	_	_	_	_
17	19	x	x	X	X	_	_	_	_	_
18	20	x	x	X	X	_	_	_	_	SpaceAfter=No
