0	1	lā	lā	PART	NEG	_	2	advmod	_	_
1	2	nipti	petû	VERB	V	Gender=Com|Mood=Ind|Number=Plur|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
2	1	x	x	X	X	_	_	_	_	_
3	2	x	x	X	X	_	_	_	_	_
4	3	x	x	X	X	_	_	_	_	_
5	4	x	x	X	X	_	_	_	_	_
6	5	x	x	X	X	_	_	_	_	_
7	6	x	x	X	X	_	_	_	_	_
8	7	ša	ša	ADP	PRP	_	8	case	_	_
9	8	māti	mātu	NOUN	N	Case=Gen|Gender=Fem|Number=Sing	_	_	_	_
10	9	gabbu	gabbu	DET	DET	_	_	_	_	_
11	10	x	x	X	X	_	_	_	_	_
12	11	x	x	X	X	_	_	_	_	_
13	12	x	x	X	X	_	_	_	_	_
14	13	x	x	X	X	_	_	_	_	_
15	14	x	x	X	X	_	_	_	_	_
16	15	x	x	X	X	_	_	_	_	_
17	16	ubbal	wabālu	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|VerbStem=G	_	_	_	_
18	17	mā	mā	PART	Quotative	_	_	_	_	_
19	18	x	x	X	X	_	_	_	_	_
20	19	x	x	X	X	_	_	_	_	_
21	20	x	x	X	X	_	_	_	_	_
22	21	x	x	X	X	_	_	_	_	_
23	22	x	x	X	X	_	_	_	_	_
24	23	x	x	X	X	_	_	_	_	_
25	24	x	x	X	X	_	_	_	_	_
26	25	mā	mā	PART	Quotative	_	_	_	_	_
27	26	šēpē	šēpu	NOUN	N	Case=Gen|Gender=Fem|NounStem=Bound|Number=Plur	_	_	_	_
28	27	ša	ša	ADP	PRP	_	28	case	_	_
29	28	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	26	nmod	_	_
30	29	x	x	X	X	_	_	_	_	_
31	30	x	x	X	X	_	_	_	_	_
32	31	x	x	X	X	_	_	_	_	_
33	32	x	x	X	X	_	_	_	_	_
34	33	mā	mā	PART	Quotative	_	_	_	_	_
35	34	ulâ	ūla	ADV	AV	_	_	_	_	_
36	35	ana	ana	ADP	PRP	_	_	_	_	_
37	36	x	x	X	X	_	_	_	_	_
38	37	x	x	X	X	_	_	_	_	_
39	38	x	x	X	X	_	_	_	_	_
40	39	x	x	X	X	_	_	_	_	_
41	40	x	x	X	X	_	_	_	_	_
42	41	mā	mā	PART	Quotative	_	_	_	_	_
43	42	ṣābāni	ṣābu	NOUN	N	Case=Acc|Gender=Masc|Number=Plur	_	_	_	_
44	43	02	02	NUM	NUM	_	44	nummod	_	_
45	44	mē	meʾatu	NUM	NU	_	_	_	_	_
46	45	x+x	x+x	X	X	_	_	_	_	_
47	46	x	x	X	X	_	_	_	_	_
48	47	x	x	X	X	_	_	_	_	_
49	48	x	x	X	X	_	_	_	_	_
50	49	x	x	X	X	_	_	_	_	_
51	50	muhhi	muhhu	NOUN	N	Case=Nom|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
52	51	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	50	nmod	_	_
53	52	bēlīya	bēlu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	51	appos	_	_
54	53	x	x	X	X	_	_	_	_	_
55	54	x	x	X	X	_	_	_	_	_
56	55	x	x	X	X	_	_	_	_	_
57	56	x	x	X	X	_	_	_	_	_
58	57	mā	mā	PART	Quotative	_	_	_	_	_
59	58	atta	atta	PRON	IP	Case=Nom|Gender=Masc|Number=Sing|Person=2	_	_	_	_
60	59	x+x	x+x	X	X	_	_	_	_	_
61	60	x	x	X	X	_	_	_	_	_
62	61	x	x	X	X	_	_	_	_	_
63	62	x	x	X	X	_	_	_	_	_
64	63	x	x	X	X	_	_	_	_	_
65	64	x	x	X	X	_	_	_	_	_
66	65	ša	ša	PRON	PRON	_	66	obj	_	_
67	66	iqabbannāšīni	qabû	VERB	V	Gender=Masc|Mood=Ind|Number=Sing|Person=3|SubSuff=Yes|Tense=Pres|Ventive=Yes|VerbForm=Fin|VerbStem=G|VerbSuffGen=Com|VerbSuffNum=Plur|VerbSuffPer=1	_	_	_	_
68	67	x	x	X	X	_	_	_	_	_
69	68	x	x	X	X	_	_	_	_	_
70	69	x	x	X	X	_	_	_	_	_
71	70	x	x	X	X	_	_	_	_	_
72	1	ūm	ūmu	NOUN	N	Gender=Masc|Number=Plur|Person=3|Tense=Perf|Mood=Ind|VerbForm=Fin|VerbStem=Gtt	_	_	_	_
73	2	02-KAM₂	02-kam₂	ADJ	ADJ	_	1	amod	_	_
74	3	issu	ištu	ADP	PRP	_	4	case	_	_
75	4	pānīya	pānu	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	_	_	_	_
76	5	x	x	X	X	_	_	_	_	_
77	6	x	x	X	X	_	_	_	_	_
78	7	x	x	X	X	_	_	_	_	_
79	8	x	x	X	X	_	_	_	_	_
80	9	x	x	X	X	_	_	_	_	_
81	10	x	x	X	X	_	_	_	_	_
82	11	x	x	X	X	_	_	_	_	_
83	12	x+x	x+x	X	X	_	_	_	_	_
84	13	ra	ra	X	X	_	_	_	_	_
85	14	x	x	X	X	_	_	_	_	_
86	15	x	x	X	X	_	_	_	_	_
87	16	x	x	X	X	_	_	_	_	_
88	17	x	x	X	X	_	_	_	_	_
89	18	x	x	X	X	_	_	_	_	_
90	19	ittatakku	alāku	VERB	V	Gender=Masc|Mood=Ind|Number=Plur|Person=3|Tense=Perf|VerbForm=Fin|VerbStem=G	0	ROOT	_	_
91	1	x	x	X	X	_	_	_	_	_
92	2	x	x	X	X	_	_	_	_	_
93	3	x	x	X	X	_	_	_	_	_
94	4	x	x	X	X	_	_	_	_	_
95	5	x	x	X	X	_	_	_	_	_
96	6	iš-ku-x	iš-ku-x	X	X	_	_	_	_	_
97	7	x	x	X	X	_	_	_	_	_
98	8	x	x	X	X	_	_	_	_	_
99	9	ana	ana	ADP	PRP	_	10	case	_	_
100	10	Saniye	saniye	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	11	iobj	_	_
101	11	assapar	šapāru	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
102	12	nuk	nuk	PART	Quotative	Gender=Com|Number=Sing|Person=1	13	discourse	_	_
103	13	mīnu	mīnu	PRON	QP	Case=Acc|Gender=Masc|Number=Sing	_	_	_	_
104	14	ṭēmu	ṭēmu	NOUN	N	Case=Acc|Gender=Masc|Number=Sing	13	nsubj	_	_
105	15	iš-x	iš-x	X	X	_	_	_	_	_
106	16	x	x	X	X	_	_	_	_	_
107	17	x	x	X	X	_	_	_	_	_
108	18	x	x	X	X	_	_	_	_	_
109	19	muhhi	muhhu	NOUN	N	Case=Nom|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
110	20	šarri	šarru	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	19	nmod	_	_
111	21	bēlīya	bēlu	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	20	appos	_	_
112	22	x	x	X	X	_	_	_	_	_
113	23	x	x	X	X	_	_	_	_	_
114	24	x	x	X	X	_	_	_	_	_
115	25	x	x	X	X	_	_	_	_	_
116	26	mā	mā	PART	Quotative	_	_	_	_	_
117	27	Urzani	urzani	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
118	28	{URU}x	{uru}x	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
119	29	x	x	X	X	_	_	_	_	_
120	30	x	x	X	X	_	_	_	_	_
121	31	x	x	X	X	_	_	_	_	_
122	32	x	x	X	X	_	_	_	_	_
123	33	mā	mā	PART	Quotative	_	_	_	_	_
124	34	šumma	šumma	SCONJ	SCONJ	_	_	_	_	_
125	35	nāgir	nāgiru	NOUN	N	Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
126	36	ēkalli	ēkallu	NOUN	NOUN	Gender=Masc|Number=Sing	35	nmod	_	_
127	37	x	x	X	X	_	_	_	_	_
128	38	x	x	X	X	_	_	_	_	_
129	39	x	x	X	X	_	_	_	_	_
130	40	x	x	X	X	_	_	_	_	_
131	41	x	x	X	X	_	_	_	_	_
132	42	mār šipri	mār šipri	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Nom	_	_	_	_
133	43	x	x	X	X	_	_	_	_	_
134	44	x	x	X	X	_	_	_	_	_
135	45	x	x	X	X	_	_	_	_	_
136	46	x	x	X	X	_	_	_	_	_
137	47	x	x	X	X	_	_	_	_	_
138	1	ūmâ	ūma	ADV	AV	_	_	_	_	_
139	2	annurig	annûri	ADV	AV	_	1	fixed	_	_
140	3	mār šiprīya	mār šiprīya	NOUN	NOUN	Gender=Masc|Number=Sing|Case=Gen|PossSuffNum=Sing|PossSuffPer=1|PossSuffGen=Com	_	_	_	_
141	4	ša	ša	PRON	PRON	_	_	_	_	_
142	5	x	x	X	X	_	_	_	_	_
143	6	x	x	X	X	_	_	_	_	_
144	7	x	x	X	X	_	_	_	_	_
145	8	x	x	X	X	_	_	_	_	_
146	9	x	x	X	X	_	_	_	_	_
147	10	ina	ina	ADP	PRP	_	11	case	_	_
