0	1	la	la	X	X	_	0	ROOT	_	_
1	2	ni-ip-ti	ni-ip-ti	X	X	_	_	_	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	ša	ša	ADP	PRP	_	_	_	_	_
9	10	KUR	kur	VERB	VERB	_	_	_	_	_
10	11	gab-bu	gab-bu	NOUN	NOUN	Gender=Fem|Number=Sing	_	_	_	_
11	12	x	x	X	X	_	_	_	_	_
12	13	x	x	X	X	_	_	_	_	_
13	14	x	x	X	X	_	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	16	x	x	X	X	_	_	_	_	_
16	17	x	x	X	X	_	_	_	_	_
17	18	u₂-bal	u₂-bal	X	SN	_	_	_	_	_
18	19	ma	ma	X	X	_	_	_	_	_
19	20	x	x	X	X	_	_	_	_	_
20	21	x	x	X	X	_	_	_	_	_
21	22	x	x	X	X	_	_	_	_	_
22	23	x	x	X	X	_	_	_	_	_
23	24	x	x	X	X	_	_	_	_	_
24	25	x	x	X	X	_	_	_	_	_
25	26	x	x	X	X	_	_	_	_	_
26	27	ma	ma	X	X	_	_	_	_	_
27	28	GIR₃.2-MEŠ	gir₃.2-meš	X	X	_	_	_	_	_
28	29	ša	ša	ADP	PRP	_	30	case	_	_
29	30	LUGAL	lugal	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	28	nmod	_	_
30	31	x	x	X	X	_	_	_	_	_
31	32	x	x	X	X	_	_	_	_	_
32	33	x	x	X	X	_	_	_	_	_
33	34	x	x	X	X	_	_	_	_	_
34	35	ma	ma	X	X	_	_	_	_	_
35	36	u₂-la-a	u₂-la-a	CONJ	CONJ	_	_	_	_	_
36	37	a-na	a-na	X	VERB	_	_	_	_	_
37	38	x	x	X	X	_	_	_	_	_
38	39	x	x	X	X	_	_	_	_	_
39	40	x	x	X	X	_	_	_	_	_
40	41	x	x	X	X	_	_	_	_	_
41	42	x	x	X	X	_	_	_	_	_
42	43	ma	ma	X	X	_	_	_	_	_
43	45	LU₂}ERIM-MEŠ	lu₂}erim-meš	X	X	_	_	_	_	_
44	46	02	02	NUM	NUM	_	_	_	_	_
45	47	me	me	X	X	_	_	_	_	_
46	48	x+x	x+x	X	X	_	_	_	_	_
47	49	x	x	X	X	_	_	_	_	_
48	50	x	x	X	X	_	_	_	_	_
49	51	x	x	X	X	_	_	_	_	_
50	52	x	x	X	X	_	_	_	_	_
51	53	UGU	ugu	X	X	_	_	_	_	_
52	54	LUGAL	lugal	VERB	NOUN	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=G	_	_	_	_
53	55	be-li₂-ia	be-li₂-ia	X	X	_	_	_	_	_
54	56	x	x	X	X	_	_	_	_	_
55	57	x	x	X	X	_	_	_	_	_
56	58	x	x	X	X	_	_	_	_	_
57	59	x	x	X	X	_	_	_	_	_
58	60	ma	ma	X	X	_	_	_	_	_
59	61	at-ta	at-ta	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Pres|Ventive=Yes|VerbForm=Fin|VerbStem=G	_	_	_	_
60	62	x+x	x+x	X	X	_	_	_	_	_
61	63	x	x	X	X	_	_	_	_	_
62	64	x	x	X	X	_	_	_	_	_
63	65	x	x	X	X	_	_	_	_	_
64	66	x	x	X	X	_	_	_	_	_
65	67	x	x	X	X	_	_	_	_	_
66	68	ša	ša	ADP	PRP	_	_	_	_	_
67	69	i-qa-ba-na-ši-ni	i-qa-ba-na-ši-ni	X	X	_	_	_	_	_
68	70	x	x	X	X	_	_	_	_	_
69	71	x	x	X	X	_	_	_	_	_
70	72	x	x	X	X	_	_	_	_	_
71	73	x	x	X	X	_	_	_	_	_
72	74	UD	ud	X	X	_	_	_	_	_
73	75	02-KAM₂	02-kam₂	ADJ	ADJ	_	74	amod	_	_
74	76	TA	ta	X	X	_	_	_	_	_
75	77	pa-ni-ia	pa-ni-ia	NOUN	ADP	_	_	_	_	_
76	78	x	x	X	X	_	_	_	_	_
77	79	x	x	X	X	_	_	_	_	_
78	80	x	x	X	X	_	_	_	_	_
79	81	x	x	X	X	_	_	_	_	_
80	82	x	x	X	X	_	_	_	_	_
81	83	x	x	X	X	_	_	_	_	_
82	84	x	x	X	X	_	_	_	_	_
83	85	x+x	x+x	X	X	_	_	_	_	_
84	86	ra	ra	X	X	_	_	_	_	_
85	87	x	x	X	X	_	_	_	_	_
86	88	x	x	X	X	_	_	_	_	_
87	89	x	x	X	X	_	_	_	_	_
88	90	x	x	X	X	_	_	_	_	_
89	91	x	x	X	X	_	_	_	_	_
90	92	it-ta-ta-ku	it-ta-ta-ku	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Tense=Perf|Ventive=Yes|VerbForm=Fin|VerbStem=G	_	_	_	_
91	93	x	x	X	X	_	_	_	_	_
92	94	x	x	X	X	_	_	_	_	_
93	95	x	x	X	X	_	_	_	_	_
94	96	x	x	X	X	_	_	_	_	_
95	97	x	x	X	X	_	_	_	_	_
96	98	iš-ku-x	iš-ku-x	X	X	_	_	_	_	_
97	99	x	x	X	X	_	_	_	_	_
98	100	x	x	X	X	_	_	_	_	_
