0	1	a-bat	abat	NOUN	NOUN	Gender=Fem|NounBase=Bound|Number=Sing	0	ROOT	_	_
1	2	{d}15	Issar	PROPN	DN	Case=Gen|Gender=Fem|Number=Sing	1	nmod	_	_
2	3	ša	ša	ADP	ADP	_	4	case	_	_
3	4	{URU}arba-il₃	{uru}arba-il₃	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	2	nmod	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	kin-ṣa-a.a	kin-ṣa-a.a	NOUN	N	Case=Acc|Gender=Masc|Number=Plur	12	nsubj	_	_
11	12	kan-ṣa	kan-ṣa	NOUN	VERB	Case=Acc|Gender=Masc|Number=Plur	_	_	_	_
12	13	a-na	ana	ADP	PRP	_	_	_	_	_
13	14	x	x	X	X	_	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	16	x	x	X	X	_	_	_	_	_
16	17	x	x	X	X	_	_	_	_	_
17	18	x	x	X	X	_	_	_	_	_
18	19	x	x	X	X	_	_	_	_	_
19	20	x	x	X	X	_	_	_	_	_
20	21	{d}NIN.LIL₂	{d}nin.lil₂	PROPN	PROPN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
21	22	a-na	ana	ADP	ADP	_	23	case	_	_
22	23	kil-li	kil-li	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	27	obl	_	_
23	24	ša	ša	ADP	DET	_	25	case	_	_
24	25	mu-ri-ša₂	mu-ri-ša₂	NOUN	N	Gender=Masc|Number=Plur|PossSuffGen=Fem|PossSuffNum=Sing|PossSuffPer=3	23	nmod	_	_
25	26	ta-se-me	ta-se-me	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	23	nmod	_	_
26	27	qab-le-ki	qab-le-ki	NOUN	N	Case=Gen|Gender=Masc|NounBase=Free|Number=Sing	21	conj	_	_
27	28	ru-uk-si	ru-uk-si	VERB	V	Gender=Masc|Mood=Imp|Number=Sing|Person=2|VerbStem=D	_	_	_	_
28	29	x+x	x+x	X	X	_	_	_	_	_
29	30	x	x	X	X	_	_	_	_	_
30	31	x	x	X	X	_	_	_	_	_
31	32	x	x	X	X	_	_	_	_	_
32	33	x	x	X	X	_	_	_	_	_
33	34	x	x	X	X	_	_	_	_	_
34	35	ša	ša	PRON	PRON	_	36	case	_	_
35	36	{1}aš-šur-PAB-AŠ	{1}aš-šur-pab-aš	PROPN	PN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
36	37	MAN	man	NOUN	N	Case=Gen|Gender=Masc|NounBase=Bound|Number=Sing	36	appos	_	_
37	38	KUR-aš-šur	kur-aš-šur	PROPN	GN	Case=Gen|Gender=Fem|Number=Sing	37	nmod:poss	_	_
38	39	x	x	X	X	_	_	_	_	_
39	40	x	x	X	X	_	_	_	_	_
40	41	x	x	X	X	_	_	_	_	_
41	42	x	x	X	X	_	_	_	_	_
42	43	x	x	X	X	_	_	_	_	_
