0	1	abat	awātu	NOUN	N	Case=Nom|Gender=Fem|NounBase=Bound|Number=Sing	0	ROOT	_	_
1	2	Issar	issar	PROPN	DN	Case=Gen|Gender=Fem|Number=Sing	1	nmod	_	_
2	3	ša	ša	ADP	PRP	_	4	case	_	_
3	4	Arbail	arbail	PROPN	SN	Case=Gen|Gender=Masc|Number=Sing	2	nmod	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	x	x	X	X	_	_	_	_	_
6	7	x	x	X	X	_	_	_	_	_
7	8	x	x	X	X	_	_	_	_	_
8	9	x	x	X	X	_	_	_	_	_
9	10	x	x	X	X	_	_	_	_	_
10	11	kinṣāya	kimṣu	NOUN	N	Case=Nom|Gender=Fem|Number=Plur|PossSuffGen=Com|PossSuffNum=Sing|PossSuffPer=1	12	nsubj	_	_
11	12	kanṣa	kamsu	VERB	V	Gender=Fem|Number=Plur|Person=3|VerbForm=Stat|Mood=Ind|VerbStem=G|Voice=Pass	_	_	_	_
12	13	ana	ana	ADP	PRP	_	_	_	_	_
13	14	x	x	X	X	_	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	16	x	x	X	X	_	_	_	_	_
16	17	x	x	X	X	_	_	_	_	_
17	18	x	x	X	X	_	_	_	_	_
18	19	x	x	X	X	_	_	_	_	_
19	20	x	x	X	X	_	_	_	_	_
20	21	Mullissu	mullissu	PROPN	DN	Case=Nom|Gender=Fem|Number=Sing	26	nsubj	_	_
21	22	ana	ana	ADP	PRP	_	23	case	_	_
22	23	killi	ikkillu	NOUN	N	Case=Gen|Gender=Masc|Number=Sing	26	obl	_	_
23	24	ša	ša	ADP	PRP	_	25	case	_	_
24	25	mūrīša	mūru	NOUN	N	Case=Gen|Gender=Masc|Number=Sing|PossSuffGen=Fem|PossSuffNum=Sing|PossSuffPer=3	23	nmod	_	_
25	26	tasseme	šemû	VERB	V	Gender=Fem|Mood=Ind|Tense=Perf|Number=Sing|Person=3|VerbStem=G	_	_	_	_
26	27	qablēki	qablu	NOUN	N	Gender=Fem|Number=Plur|Case=Acc|PossSuffNum=Sing|PossSuffPer=2|PossSuffGen=Masc	28	obj	_	_
27	28	ruksi	rakāsu	VERB	V	Case=Nom|Gender=Masc|Number=Plur|Gender=Fem|Number=Sing|Person=2|Mood=Imp|VerbStem=G	_	_	_	_
28	29	x+x	x+x	X	X	_	_	_	_	_
29	30	x	x	X	X	_	_	_	_	_
