0	1	šup-ra	šupra	VERB	V	Gender=Masc|Mood=Imp|Number=Sing|Person=2|Ventive=Yes|VerbStem=G	0	ROOT	_	_
1	3	1}pi-ga-at	1}pi-ga-at	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	2	dep	_	_
2	5	1}ṣa-bat-ti	1}ṣa-bat-ti	PROPN	PN	Case=Nom|Gender=Masc|Number=Sing	_	_	_	_
3	6	ša	ša	PRON	PRON	_	8	nsubj	_	_
4	7	ina	ina	ADP	ADP	_	8	case	_	_
5	8	ŠA₃-bi	ša₃-bi	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	_	_	_	_
6	9	x	x	X	X	_	_	_	_	_
7	10	x	x	X	X	_	_	_	_	_
8	11	URU-MEŠ	uru-meš	NOUN	NOUN	Gender=Masc|Number=Plur	_	_	_	_
9	12	x	x	X	X	_	_	_	_	_
10	13	x-lim	x-lim	X	X	_	_	_	_	_
11	15	ŠE}PAD-MEŠ	še}pad-meš	NOUN	NOUN	_	_	_	_	_
12	16	x	x	X	X	_	_	_	_	_
13	17	u₂-se-li	ussēli	VERB	VERB	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Perf|VerbForm=Fin|VerbStem=D	_	_	_	_
14	19	1}{d}x-DINGIR-a.a	1}{d}x-dingir-a.a	PROPN	PN	_	_	_	_	_
15	20	x	x	X	X	_	_	_	_	_
16	21	x	x	X	X	_	_	_	_	_
17	22	x	x	X	X	_	_	_	_	_
18	23	x	x	X	X	_	_	_	_	_
19	24	a	a	X	X	_	_	_	_	_
20	25	x	x	X	X	_	_	_	_	SpaceAfter=No
