0	1	ma-a	mā	PART	Quotative	_	2	discourse	_	_
1	2	ar₂-hiš	arhiš	ADV	ADV	_	0	ROOT	_	_
2	3	x	x	X	X	_	_	_	_	_
3	4	x	x	X	X	_	_	_	_	_
4	5	x	x	X	X	_	_	_	_	_
5	6	kib-su	kibsu	NOUN	N	Case=Acc|Gender=Masc|Number=Sing	8	obj	_	_
6	7	la	lā	PART	MOD	_	8	advmod	_	_
7	8	ma-aʾ-da	maʾda	VERB	VERB	Gender=Masc|Mood=Ind|Number=Sing|Person=3|Ventive=Yes|VerbForm=Stat|VerbStem=G	_	_	_	_
8	9	ina	ina	ADP	ADP	_	10	case	_	_
9	10	UGU	ugu	NOUN	NOUN	Case=Gen|Gender=Masc|NounStem=Bound|Number=Sing	_	_	_	_
10	11	ID₂	id₂	NOUN	NOUN	Case=Gen|Gender=Masc|Number=Sing	10	nmod	_	_
11	12	ina	ina	ADP	ADP	_	13	case	_	_
12	13	zi-li-te	zilīte	NOUN	NOUN	Case=Gen|Gender=Fem|Number=Sing	10	conj	_	_
13	14	x+x	x+x	X	X	_	_	_	_	_
14	15	x	x	X	X	_	_	_	_	_
15	16	e-bi-ir	ebir	VERB	V	Gender=Com|Mood=Ind|Number=Sing|Person=1|Tense=Past|VerbForm=Fin|VerbStem=G	_	_	_	SpaceAfter=No
